fold,model,n_train,R2
0,TabPFN,10,0.8321850001807372
0,RF,10,0.8228538617884343
0,XGBoost,10,0.4003355082364234
0,SVR,10,0.1724944178572292
0,Ridge,10,0.3215854676011426
0,GBR,10,0.8346856010312265
0,MLP,10,-1.4475915953215215
0,TabPFN,15,0.7065390162710646
0,RF,15,0.736324367726317
0,XGBoost,15,0.43324078209428407
0,SVR,15,0.5884589792482289
0,Ridge,15,0.31815314240156856
0,GBR,15,0.6806979758015442
0,MLP,15,-1.2027802329039878
0,TabPFN,20,0.7321024337016675
0,RF,20,0.7881643878345052
0,XGBoost,20,0.49091596337359955
0,SVR,20,0.30860328735884335
0,Ridge,20,0.07775056384184553
0,GBR,20,0.7047659406983378
0,MLP,20,0.36189101634178666
0,TabPFN,25,0.8740302286680349
0,RF,25,0.8748183939127312
0,XGBoost,25,0.8497184746411667
0,SVR,25,0.456516481544475
0,Ridge,25,0.5989304175206945
0,GBR,25,0.8724889958864456
0,MLP,25,0.40119681811225094
0,TabPFN,30,0.8905946317880915
0,RF,30,0.8684062340250726
0,XGBoost,30,0.8819193853566387
0,SVR,30,0.6105288616806177
0,Ridge,30,0.6149464162070517
0,GBR,30,0.8661196117230304
0,MLP,30,0.7493540609874253
0,TabPFN,35,0.9526967222245087
0,RF,35,0.9258729839993679
0,XGBoost,35,0.9076149273287686
0,SVR,35,0.6985056187794425
0,Ridge,35,0.6235988606846051
0,GBR,35,0.8769559357285351
0,MLP,35,0.0672010469481158
0,TabPFN,40,0.9260120333407905
0,RF,40,0.8962932116450384
0,XGBoost,40,0.880144205919581
0,SVR,40,0.5695156256741563
0,Ridge,40,0.5109183846805776
0,GBR,40,0.8928836058428481
0,MLP,40,-0.6152699041257259
0,TabPFN,45,0.9368470200261018
0,RF,45,0.9151514637906604
0,XGBoost,45,0.9149979140117073
0,SVR,45,0.601369265250149
0,Ridge,45,0.4551808215862362
0,GBR,45,0.8840381102229082
0,MLP,45,-0.47730908507125447
0,TabPFN,48,0.9371796080114358
0,RF,48,0.9142565543301591
0,XGBoost,48,0.9126820232413737
0,SVR,48,0.6903383014837048
0,Ridge,48,0.5530995732722843
0,GBR,48,0.8803258562689942
0,MLP,48,-0.4891539052362055
1,TabPFN,10,0.7962336279368498
1,RF,10,0.7301230835031021
1,XGBoost,10,0.7223948269002622
1,SVR,10,0.5047748300579724
1,Ridge,10,0.3233065139587703
1,GBR,10,0.859803053233555
1,MLP,10,-0.3025721306646112
1,TabPFN,15,0.871533885783258
1,RF,15,0.7201534202399358
1,XGBoost,15,0.3023793305018745
1,SVR,15,0.38687568098042113
1,Ridge,15,0.36341501086823025
1,GBR,15,0.6241343494994778
1,MLP,15,-1.037571561398381
1,TabPFN,20,0.6151627080419855
1,RF,20,0.8137066121379891
1,XGBoost,20,0.8100524359669798
1,SVR,20,0.6784585894234135
1,Ridge,20,0.06147073710046436
1,GBR,20,0.7466117444564355
1,MLP,20,-0.6430408455203169
1,TabPFN,25,0.8794064627460311
1,RF,25,0.8143166808855524
1,XGBoost,25,0.764925352748607
1,SVR,25,0.6523454385167261
1,Ridge,25,0.006131110191497036
1,GBR,25,0.7242521151080071
1,MLP,25,-3.5502235506250237
1,TabPFN,30,0.8646733656280007
1,RF,30,0.858804978465622
1,XGBoost,30,0.887920815381304
1,SVR,30,0.46902884065411454
1,Ridge,30,-0.26839782287403424
1,GBR,30,0.8269462620551804
1,MLP,30,-1.7275525964379064
1,TabPFN,35,0.8270005037009809
1,RF,35,0.7962838714806548
1,XGBoost,35,0.7877800609637803
1,SVR,35,0.5004633548364325
1,Ridge,35,0.10239524917833664
