Model,n_train,R2_mean,R2_std,R2_median,n_folds
TabPFN,10,0.7628056258723244,0.12247898275138563,0.7912324423428919,50
TabPFN,15,0.8560796567482752,0.07351838191955132,0.8589962385028835,50
TabPFN,20,0.8768630460617416,0.07195129649530399,0.8989180270542823,50
TabPFN,25,0.8763497407074203,0.06926364847053736,0.888087559667192,50
TabPFN,30,0.906063329629761,0.04929453662236026,0.9118982912165637,50
TabPFN,35,0.9096948861823622,0.047963126352373986,0.9220131845661637,50
TabPFN,40,0.9172126456902192,0.04171345679127421,0.9209513943288336,50
TabPFN,45,0.919623332567995,0.04315382191647982,0.9282932889466886,50
TabPFN,48,0.9189736037621669,0.043125267208412005,0.9330975445065937,50
RF,10,0.6954646732784745,0.13782152761540498,0.7241538460682584,50
RF,15,0.8351372762304261,0.0677844008007515,0.8453148639188417,50
RF,20,0.8560413208275186,0.05171593792222691,0.8604885604837855,50
RF,25,0.8588282708818038,0.06372113132345657,0.8692730919133527,50
RF,30,0.873052397142819,0.04596762491089881,0.8695893512407988,50
RF,35,0.8839752716301716,0.052350878835834114,0.891898532391526,50
RF,40,0.8840197813624898,0.05164353319435083,0.8945292145791709,50
RF,45,0.8913017024429073,0.05057535507272849,0.9032059996272094,50
RF,48,0.8906284551673198,0.05339113129627875,0.907130551355745,50
XGBoost,10,0.5280569981485848,0.29244056954512376,0.6433196147519491,50
XGBoost,15,0.6778993448368196,0.20104979438271733,0.7137150196336038,50
XGBoost,20,0.7675483895408999,0.15019088197984085,0.80209434928462,50
XGBoost,25,0.7745397323331646,0.14299556595138016,0.8132824744098363,50
XGBoost,30,0.8536201251627906,0.07694867276969192,0.8819975901050504,50
XGBoost,35,0.8671795407024844,0.0643855622824349,0.8883450791781469,50
XGBoost,40,0.8683159395591218,0.056287240306376746,0.8745662044684408,50
XGBoost,45,0.8744573478518943,0.059973391116933956,0.8857061716200954,50
XGBoost,48,0.8789768375558846,0.05303819011658266,0.8891542748785366,50
SVR,10,0.2908713624756959,0.3336354225978014,0.3559698565011457,50
SVR,15,0.5275794232075657,0.2363869766724447,0.5610351467174655,50
SVR,20,0.5707403370794094,0.20018891635160918,0.6090757499056767,50
SVR,25,0.5844853769742454,0.2256491079096872,0.6294443481765819,50
SVR,30,0.576308773872639,0.23010162489048963,0.6172592347874393,50
SVR,35,0.6132555103524315,0.19290722314213607,0.6205323853333757,50
SVR,40,0.638432300011022,0.21064183479608703,0.6644941659015094,50
SVR,45,0.658288200082896,0.17501207106077896,0.7016991667526585,50
SVR,48,0.659619386938349,0.1649225628755522,0.693274742167247,50
Ridge,10,-0.08302069827383995,1.0654254245729862,0.2815027440594994,50
Ridge,15,0.22403562734579663,0.8107601631349369,0.46817983152615444,50
Ridge,20,0.31542941061640345,0.4630211562141215,0.41425307207778655,50
Ridge,25,0.32702716441562907,0.5739645451199364,0.45631387352110053,50
Ridge,30,0.43031280506039815,0.2981781402589497,0.4995938642678927,50
Ridge,35,0.48234445362317396,0.2373442219541911,0.5026331336049308,50
Ridge,40,0.5027766571144112,0.22493979027952235,0.5185106051667875,50
Ridge,45,0.48408773932385935,0.2667661576861974,0.5398565889130773,50
Ridge,48,0.5025659210373076,0.2362643362230346,0.5442643040103329,50
GBR,10,0.7168689617759675,0.15447447506720974,0.7683910870618204,50
GBR,15,0.7979496015759889,0.08970842759916606,0.8038104883341035,50
GBR,20,0.8101567051647848,0.1030111661445669,0.8350565974162178,50
GBR,25,0.8082814952793203,0.10560440146370555,0.8396255759356609,50
GBR,30,0.8324221411994425,0.08896912706649227,0.8381373771486911,50
GBR,35,0.8406437519206809,0.07571883340651717,0.8532414310758065,50
GBR,40,0.846977222477967,0.07259833248415513,0.8638673080554773,50
GBR,45,0.8547665488453094,0.08332893875296059,0.8819956526779481,50
GBR,48,0.8550734624518906,0.0774150293119744,0.8817226556618041,50
MLP,10,-2.2519330725479714,3.170604397797363,-1.027886242036844,50
MLP,15,-1.823014209197949,3.424183240244378,-0.5915812456324013,50
MLP,20,-0.9274352179933135,2.1103636047732452,-0.4244880411959836,50
MLP,25,-0.6266010934246121,1.619656342632715,-0.16376132222449113,50
MLP,30,-0.4416974480602125,1.1895849199097108,-0.10729998216875081,50
MLP,35,-0.27644755420224626,1.0060085275312474,0.07016578300475707,50
MLP,40,0.03537478854913319,0.811088413412844,0.3143487492791403,50
MLP,45,-0.02892897649654837,0.9470953825842965,0.2891606493877693,50
MLP,48,0.12798910876574277,0.7198167776419508,0.33280199768969804,50
