Model,Mode,R2_mean,R2_std,R2_median,RMSE_mean,RMSE_std,MAE_mean,MAE_std,Time_total_s,Time_per_fold_s
TabPFN,zero-shot,0.9189736603163304,0.042691840288170094,0.9330975227309051,0.1792555598729583,0.04481791348122882,0.1392950230372543,0.033416521882330796,420.96589708328247,8.41931794166565
RF,bo,0.891934064040766,0.052824653267688586,0.9037461204776592,0.20815428542468567,0.0509358404136141,0.16515910790156998,0.040030597881214554,572.0078194141388,11.440156388282777
GBR,bo,0.8823568845041139,0.056539003343002325,0.8929185703550397,0.2177973875090407,0.050680896507216536,0.1747400741510107,0.03967790487432243,303.82604694366455,6.076520938873291
XGBoost,bo,0.8755766251867899,0.059989583768221076,0.8871139609310701,0.22341922551098367,0.04311505591455134,0.1771934088720811,0.03368602162950105,269.5172290802002,5.390344581604004
AdaBoost,bo,0.8749433587451497,0.0668519879727517,0.8979652629758881,0.22245271452996992,0.05983579826409874,0.1750794691931092,0.04327843218622997,559.0756196975708,11.181512393951415
KNN,bo,0.7540407159790008,0.1082637661681809,0.770523885305457,0.31553894150004574,0.05893510562417772,0.2547874403803908,0.052615322442900805,8.79728889465332,0.1759457778930664
SVR,bo,0.6499083792405872,0.152129073309172,0.6807705868233591,0.378060440941929,0.07199803493369876,0.29606793687460164,0.05723651663082397,9.22522497177124,0.1845044994354248
MLP,bo,0.5005449164385533,0.3416434247245398,0.6004515082704713,0.4404675060577034,0.16664359639362264,0.3376024860856665,0.13885342381740037,423.75425267219543,8.475085053443909
ElasticNet,bo,0.4994362577733209,0.18231476127335824,0.5178435148197547,0.45593072129818407,0.07002700363291159,0.391309728324751,0.057254480717716584,4.320399284362793,0.08640798568725586
Lasso,bo,0.4937591340395049,0.1931390893215722,0.5254207853807578,0.45812594678705,0.07485480322310878,0.3933050165800136,0.060110442604033615,3.999865770339966,0.07999731540679932
Ridge,bo,0.48815837587002503,0.19575369916895916,0.505927737930052,0.4602851090059628,0.0799947753228446,0.38554846943516646,0.06160189580513155,3.616379499435425,0.0723275899887085
