Model,Mode,R2_mean,R2_std,R2_median,RMSE_mean,RMSE_std,MAE_mean,MAE_std,Time_total_s,Time_per_fold_s
TabPFN,zero-shot,0.9189736603163304,0.042691840288170094,0.9330975227309051,0.1792555598729583,0.04481791348122882,0.1392950230372543,0.033416521882330796,420.96589708328247,8.41931794166565
RF,default,0.8910915930217237,0.053390207683021225,0.9062376601334885,0.2088503858053318,0.050783850737551525,0.16585771734820487,0.039554095629738904,4.3414881229400635,0.08682976245880127
XGBoost,default,0.8789768375558846,0.05250512945061569,0.8891542748785366,0.22116455562834872,0.04022419266900474,0.17916088327077137,0.031111974684445882,4.486290216445923,0.08972580432891845
AdaBoost,default,0.8728912219423538,0.06995368812661283,0.8937774526486979,0.2234533005760715,0.06253125283046909,0.1743554703390751,0.045433717627176816,5.553959846496582,0.11107919692993164
GBR,default,0.8551524702755278,0.07655596501606773,0.8817226556618041,0.23927532485309444,0.0600156107701494,0.18325198411822335,0.045649595465500445,2.209432601928711,0.04418865203857422
KNN,default,0.7074400436094883,0.12644907099262878,0.718594988493582,0.345613418527986,0.07040429005482449,0.26766279412792804,0.05603854751267849,0.03213644027709961,0.0006427288055419922
SVR,default,0.659613042552909,0.16325209020308037,0.6932526888903001,0.37233363695084004,0.08469407540665214,0.2777856353699757,0.06694938427204887,0.07081127166748047,0.0014162254333496094
Lasso,default,0.5132482683645015,0.2276749263422893,0.5315214277438054,0.44403429625563434,0.09359611831936163,0.3650683850637575,0.06707945417021142,0.04013538360595703,0.0008027076721191407
Ridge,default,0.5025659210373078,0.23388976001418477,0.5442643040103343,0.4480714185637594,0.09457510951386017,0.3662144010119355,0.06778292791680005,0.018947839736938477,0.00037895679473876954
ElasticNet,default,0.501705699362715,0.2359436253779553,0.5372314620875532,0.44854643333463673,0.09536393283961733,0.36647236619548823,0.06782865057697654,0.03656291961669922,0.0007312583923339843
MLP,default,0.2248307120965174,0.6541731811705662,0.39023204240022447,0.5281211356175527,0.20631043230829232,0.40702401284540457,0.17890529763239132,2.277898073196411,0.04555796146392822
