Model,mean_dR2,win_pct,W,p_raw,effect_r,p_holm,sig
Ridge,0.43081528444630535,100.0,1275.0,8.881784197001252e-16,1.0,8.881784197001252e-15,***
Lasso,0.42521452627682566,100.0,1275.0,8.881784197001252e-16,1.0,8.881784197001252e-15,***
ElasticNet,0.41953740254300953,100.0,1275.0,8.881784197001252e-16,1.0,8.881784197001252e-15,***
SVR,0.26906528107574323,100.0,1275.0,8.881784197001252e-16,1.0,8.881784197001252e-15,***
KNN,0.16493294433732952,100.0,1275.0,8.881784197001252e-16,1.0,8.881784197001252e-15,***
RF,0.027039596275564484,82.0,1136.0,9.336630135692303e-08,0.7819607843137255,9.336630135692303e-08,***
GBR,0.036616775812216826,84.0,1170.0,6.85186929416659e-09,0.8352941176470587,2.740747717666636e-08,***
XGBoost,0.043397035129540615,84.0,1160.0,1.5470011938134576e-08,0.8196078431372549,4.641003581440373e-08,***
AdaBoost,0.044030301571180805,78.0,1153.0,2.6703106392744758e-08,0.8086274509803921,5.3406212785489515e-08,***
MLP,0.4184287438777771,100.0,1275.0,8.881784197001252e-16,1.0,8.881784197001252e-15,***
