Model,mean_dR2,win_pct,W,p_raw,effect_r,p_holm,sig
Ridge,0.41640773927902275,100.0,1275.0,8.881784197001252e-16,1.0,8.881784197001252e-15,***
Lasso,0.405725391951829,100.0,1275.0,8.881784197001252e-16,1.0,8.881784197001252e-15,***
ElasticNet,0.4172679609536155,100.0,1275.0,8.881784197001252e-16,1.0,8.881784197001252e-15,***
SVR,0.25936061776342156,98.0,1274.0,1.7763568394002505e-15,0.9984313725490197,1.0658141036401503e-14,***
KNN,0.21153361670684206,100.0,1275.0,8.881784197001252e-16,1.0,8.881784197001252e-15,***
RF,0.027882067294606752,80.0,1130.0,1.4195803732519607e-07,0.7725490196078431,1.4195803732519607e-07,***
GBR,0.0638211900408027,90.0,1218.0,6.435829646989077e-11,0.9105882352941177,2.574331858795631e-10,***
XGBoost,0.03999682276044591,82.0,1141.0,6.527456886118443e-08,0.7898039215686274,1.3054913772236887e-07,***
AdaBoost,0.04608243837397667,82.0,1148.0,3.899365275117361e-08,0.8007843137254902,1.1698095825352084e-07,***
MLP,0.694142948219813,98.0,1273.0,2.6645352591003757e-15,0.9968627450980392,1.3322676295501878e-14,***
