Model,n_train,R2_mean,R2_std,R2_median,n_folds
TabPFN,10,0.3845639474417428,0.26548112961639225,0.4777044675172478,50
TabPFN,15,0.5322255596198885,0.17098812904554975,0.5374619034780093,50
TabPFN,20,0.5715383097132865,0.22196334092657147,0.5943748551909773,50
TabPFN,25,0.5877503738148017,0.17411232762253392,0.6126750958524687,50
TabPFN,30,0.635437796256684,0.1463409605539712,0.6348817541481633,50
TabPFN,35,0.6579743840975689,0.14823490889219917,0.6846492755517776,50
TabPFN,40,0.6652130051541582,0.14943968525858387,0.6672117224977515,50
TabPFN,45,0.6647771820313332,0.1415178847977987,0.6732135966417166,50
TabPFN,48,0.6691803062961035,0.14028185373843927,0.6825716889614347,50
RF,10,0.4787535005030478,0.22520574743746896,0.5299784055499117,50
RF,15,0.6075936478331694,0.1614071600787796,0.650644461136825,50
RF,20,0.629492518355255,0.15142942628950654,0.6468430369647319,50
RF,25,0.6091799934896877,0.15624106827214437,0.6234483116482339,50
RF,30,0.6298160338266068,0.15995039610357073,0.6389881327436377,50
RF,35,0.6378492099205821,0.17446760017488896,0.6519441582826235,50
RF,40,0.6487586836662664,0.1582755252898818,0.6768235711026155,50
RF,45,0.6511952827449943,0.16748775243162842,0.6757850760929317,50
RF,48,0.6492706595154856,0.16518532919347167,0.6635793680506032,50
XGBoost,10,0.3382325409128935,0.35912287176446733,0.4126551719126309,50
XGBoost,15,0.44497705163913304,0.29068871159871607,0.4765786660561318,50
XGBoost,20,0.5120710409629725,0.2375044039845134,0.570763068062146,50
XGBoost,25,0.4782621301570953,0.2289805246589778,0.4878497439549068,50
XGBoost,30,0.5616669408555378,0.2050972977783607,0.5801070545836954,50
XGBoost,35,0.5341678136697349,0.24340400727091657,0.588075418934026,50
XGBoost,40,0.5939630079585765,0.20404572243988933,0.6370298356346872,50
XGBoost,45,0.5712363973497188,0.22549469155509014,0.6304752419419848,50
XGBoost,48,0.5808547338119626,0.2148764986068612,0.6166054723984412,50
SVR,10,0.04202231463933475,0.4559772641018647,0.1610850839307973,50
SVR,15,0.2347957160587719,0.3865182756664897,0.3278833422140048,50
SVR,20,0.2665455256861194,0.2731451270188151,0.3141694980190486,50
SVR,25,0.29710603419636183,0.3310987369366474,0.34929324846097437,50
SVR,30,0.24693267114956707,0.47434833716480745,0.3583772543319806,50
SVR,35,0.30757748536275714,0.3522811806424484,0.41208739718434406,50
SVR,40,0.3227386977089459,0.37440508070173883,0.4298976173060808,50
SVR,45,0.33691790615632505,0.34579799291229235,0.4485616731657029,50
SVR,48,0.3339430697884112,0.3591182625430672,0.43751130716745584,50
Ridge,10,-0.7118881488889689,1.8616735767823127,-0.0782260984627079,50
Ridge,15,-0.5079578195672836,1.4420922383002888,0.07787383920993945,50
Ridge,20,-0.18849974004833606,0.9712196139334944,0.1574421194588202,50
Ridge,25,-0.2186189285232425,1.1625625208014132,0.19376465202355164,50
Ridge,30,0.00013290598521524367,0.6026718989871198,0.19930293676231547,50
Ridge,35,0.1585992133326065,0.30268115906385157,0.19787409799682015,50
Ridge,40,0.16096412729656662,0.42153762560938807,0.3214401065577794,50
Ridge,45,0.10308168606541175,0.5157257928770954,0.2526137698183121,50
Ridge,48,0.14928895527162866,0.3652184507986492,0.24739951331561505,50
GBR,10,0.36925858380404597,0.3563200615776601,0.48544159469468806,50
GBR,15,0.45477784603869426,0.27659895361928094,0.5166452781100999,50
GBR,20,0.5314552629385719,0.21769377748625734,0.5719010659292807,50
GBR,25,0.4847640570922495,0.283235594713574,0.4778574767386966,50
GBR,30,0.5319450166975948,0.21616537313643655,0.5612816669585662,50
GBR,35,0.5308518793156061,0.24803856384806358,0.5824268478307564,50
GBR,40,0.5682305456969412,0.21779432608234767,0.5944212219599155,50
GBR,45,0.5715905399134544,0.21273356878456975,0.6124762535826812,50
GBR,48,0.5960838585353171,0.20406143606899665,0.6353351480450269,50
MLP,10,-4.860649114117538,8.913334260796164,-1.915202499331478,50
MLP,15,-3.2452256810208877,6.854197692207295,-1.5125320740785269,50
MLP,20,-2.1104551677143375,4.589844417808848,-0.7634918969534374,50
MLP,25,-2.0487885275860047,4.1168505626006455,-0.7459311111770167,50
MLP,30,-1.1145508577299836,1.6849437659171658,-0.6042461570594534,50
MLP,35,-0.77580288420708,1.4340486103573684,-0.402133632094,50
MLP,40,-0.48469141857989995,1.0029529049024517,-0.3114987035296771,50
MLP,45,-0.46266636273096223,1.008721591655109,-0.2682430892317894,50
MLP,48,-0.5210785029043198,1.2859927137668945,-0.29285705027556164,50
