Model,Mode,R2_mean,R2_std,R2_median,RMSE_mean,RMSE_std,MAE_mean,MAE_std,Time_total_s,Time_per_fold_s
TabPFN,zero-shot,0.6691750407563944,0.13886918288249003,0.682572065091211,0.36616322140834223,0.07130724953433525,0.28747094278761964,0.06308754159832816,404.87743043899536,8.097548608779908
RF,bo,0.6575593129455818,0.1557672123881687,0.700464480158229,0.3718580391454936,0.07239024586640405,0.2788027958761331,0.06639755617481222,457.1447911262512,9.142895822525025
XGBoost,bo,0.6295705686635998,0.14395018665930695,0.6374266042086159,0.3884327163986046,0.06693153176440156,0.29956927576129827,0.05729945431074707,173.63809394836426,3.472761878967285
GBR,bo,0.624387970653807,0.1739815729557639,0.6543757554380315,0.3886366772738683,0.07395974209833608,0.3025027689675872,0.0672411792295162,242.4896810054779,4.849793620109558
AdaBoost,bo,0.6211716024659083,0.1738837824451723,0.6291531641271398,0.3895535116764512,0.07944200860005031,0.2946498685649193,0.06355317650889114,501.7985918521881,10.035971837043762
KNN,bo,0.6078610351101471,0.15391125329947414,0.6255829187528446,0.400744393111461,0.06862199559067769,0.31938113464240664,0.06091839863752713,7.16955041885376,0.1433910083770752
SVR,bo,0.4204386994475947,0.2610785500975145,0.4753112028400127,0.4873693135727462,0.0994318799134408,0.38379851441974294,0.06241323565318785,7.3783040046691895,0.1475660800933838
Ridge,bo,0.2759522172307199,0.1787504140945408,0.3094142261031351,0.5544811469505663,0.07517173705442226,0.48497854455510625,0.061276859055689525,3.4758377075195312,0.06951675415039063
ElasticNet,bo,0.19103165688004747,0.23544486647087806,0.222366710906082,0.5846327875398669,0.08035880804034258,0.5112255649627244,0.05997171060981489,3.974250555038452,0.07948501110076904
Lasso,bo,0.17627545439026499,0.24194076249992214,0.21415616392771647,0.5897920427635072,0.08381640243908038,0.5118031321924679,0.06188539966646849,3.661201000213623,0.07322402000427246
MLP,bo,0.11560449616845479,0.659823037642256,0.28956901892814585,0.5782827143600688,0.21387026053904046,0.45047521887217734,0.1729024204944945,409.4287757873535,8.18857551574707
