Model,Mode,R2_mean,R2_std,R2_median,RMSE_mean,RMSE_std,MAE_mean,MAE_std,Time_total_s,Time_per_fold_s
TabPFN,zero-shot,0.6691750407563944,0.13886918288249003,0.682572065091211,0.36616322140834223,0.07130724953433525,0.28747094278761964,0.06308754159832816,404.87743043899536,8.097548608779908
RF,default,0.6532398186637749,0.16409469659938336,0.68673628110171,0.37345201544031786,0.07428353483745317,0.28104109334121957,0.06604690129409899,3.963192939758301,0.07926385879516601
AdaBoost,default,0.6267629426557687,0.17415407997543464,0.6502905828952518,0.38693909322461734,0.07496550485687342,0.29416324401347393,0.06340119777557666,5.478599548339844,0.10957199096679687
GBR,default,0.5962421822188934,0.20177835519052645,0.6374879869712176,0.4007614572469674,0.08808277816001153,0.31013947865662767,0.07393463348982567,2.0564539432525635,0.041129078865051266
XGBoost,default,0.5808547338119626,0.2127168809955466,0.6166054723984412,0.4080815693376092,0.08646338460891004,0.3022944300004841,0.07097615972202737,4.6802990436553955,0.09360598087310791
KNN,default,0.5547093213082315,0.208559033982774,0.5735355150230083,0.4233415701829105,0.08940075004296673,0.3300049244035539,0.07459666922348696,0.027515649795532227,0.0005503129959106445
SVR,default,0.3339892513339735,0.35547259203069154,0.4374348486949777,0.5163276468150463,0.1154904463901365,0.40738858872871986,0.09594396440867085,0.02109837532043457,0.0004219675064086914
Lasso,default,0.17763148161423675,0.32642028522853267,0.2670588541022919,0.584750734874805,0.10620517245094149,0.487828859737781,0.07169810461646867,0.047914743423461914,0.0009582948684692383
ElasticNet,default,0.1541569354399144,0.35037178758864634,0.24675886194069568,0.591877495976567,0.11255698279528166,0.48936716330425223,0.07432758706570054,0.018914222717285156,0.00037828445434570315
Ridge,default,0.1492889552716288,0.3615478204438385,0.247399513315615,0.5929844833994109,0.11543656290301117,0.4886136452496545,0.07611034073050185,0.002002716064453125,4.00543212890625e-05
MLP,default,-0.5184177647742706,1.1062985139534387,-0.4439700946881888,0.7480998317722455,0.2964184180455845,0.5952070761610918,0.24907246499422642,1.8342382907867432,0.03668476581573486
