Model,mean_dR2,win_pct,W,p_raw,effect_r,p_holm,sig
Ridge,0.3932228235256744,100.0,1275.0,8.881784197001252e-16,1.0,8.881784197001252e-15,***
Lasso,0.4928995863661293,100.0,1275.0,8.881784197001252e-16,1.0,8.881784197001252e-15,***
ElasticNet,0.47814338387634686,100.0,1275.0,8.881784197001252e-16,1.0,8.881784197001252e-15,***
SVR,0.24873634130879949,90.0,1223.0,3.575717499870734e-11,0.9184313725490196,2.1454304999224405e-10,***
KNN,0.061314005646247144,74.0,1005.0,0.000125764532481476,0.5764705882352941,0.00062882266240738,***
RF,0.011615727810812528,57.99999999999999,742.0,0.15916228294488022,0.1639215686274509,0.15916228294488022,n.s.
GBR,0.04478707010258726,64.0,888.0,0.007445448878301342,0.3929411764705881,0.014890897756602683,*
XGBoost,0.03960447209279452,70.0,970.0,0.0005125580317617562,0.5215686274509803,0.0020502321270470247,**
AdaBoost,0.04800343829048596,66.0,966.0,0.0005953486446870215,0.5152941176470589,0.0020502321270470247,**
MLP,0.5535705445879394,88.0,1229.0,1.70183866998741e-11,0.9278431372549019,1.191287068991187e-10,***
