Model,mean_dR2,win_pct,W,p_raw,effect_r,p_holm,sig
Ridge,0.5198860854847654,100.0,1275.0,8.881784197001252e-16,1.0,8.881784197001252e-15,***
Lasso,0.49154355914215747,100.0,1275.0,8.881784197001252e-16,1.0,8.881784197001252e-15,***
ElasticNet,0.5150181053164798,100.0,1275.0,8.881784197001252e-16,1.0,8.881784197001252e-15,***
SVR,0.3351857894224208,94.0,1262.0,7.815970093361102e-14,0.9796078431372548,4.689582056016661e-13,***
KNN,0.11446571944816282,80.0,1161.0,1.4286962723986107e-08,0.8211764705882354,7.143481361993054e-08,***
RF,0.015935222092619373,52.0,744.0,0.15452550223492167,0.1670588235294117,0.15452550223492167,n.s.
GBR,0.072932858537501,72.0,1001.0,0.00014900182036381437,0.5701960784313727,0.0004470054610914431,***
XGBoost,0.08832030694443165,72.0,1056.0,1.1534487328823673e-05,0.6564705882352941,4.613794931529469e-05,***
AdaBoost,0.042412098100625656,66.0,916.0,0.0032626026005724285,0.43686274509803913,0.006525205201144857,**
MLP,1.1875928055306648,94.0,1264.0,4.884981308350689e-14,0.9827450980392156,3.419486915845482e-13,***
