Rank,Model,R2_mean,R2_std,R2_median,RMSE_mean,RMSE_std,MAE_mean,MAE_std,Time_per_fold_s
1,TabPFN,0.7748300392760819,0.10150156019326596,0.7932288369960041,0.1947494672370828,0.035733219219014484,0.16300666437057654,0.029670139819488062,9.734167170524596
2,RF,0.7725999911963056,0.10581454716039548,0.79203888818112,0.1958799930200648,0.03397104169903797,0.16087075929410877,0.03154478457677123,0.08469679355621337
3,XGBoost,0.7643729816897705,0.1150667636378901,0.7722851892871998,0.19871068511267423,0.03654972122873222,0.15978341582347969,0.03621452591406888,0.12321398258209229
4,AdaBoost,0.7622258499889302,0.10432640340643691,0.7761511635282251,0.20148160902265275,0.039090218960386856,0.1646369094005142,0.036783494436320584,0.132069149017334
5,GBR,0.7453748386162817,0.1257326416870454,0.7780850528411931,0.20609954145491302,0.03738924762284264,0.1664397979030444,0.03376591501257599,0.04003098487854004
6,Lasso,0.720472074641796,0.11077239378125806,0.7480248033569464,0.2188344776764517,0.03917198556081412,0.1795975738227592,0.03709525740289737,0.0010436582565307617
7,ElasticNet,0.7195121773250999,0.11313349499763319,0.7529992915177466,0.21899907481864414,0.03969666853867042,0.17932451895458767,0.0372694841563205,0.0007882308959960937
8,Ridge,0.7182266855307283,0.11482750402484919,0.7600804408580876,0.21941369294056012,0.04013822167674937,0.1794820951345567,0.03734088502860499,0.00496561050415039
9,KNN,0.6951734412200037,0.14349833181296726,0.7149470939054892,0.22673749065030294,0.04370826103491678,0.17995409696591824,0.03578218162957448,0.0008794736862182618
10,SVR,0.6742525575195476,0.12960957914452773,0.705275011214702,0.23616088626453868,0.039541715336036155,0.19475566343204767,0.030279409926423775,0.0013003921508789062
11,MLP,-0.09882682679098177,2.74797877197937,0.6154663906677802,0.3330221667505381,0.23036291581677207,0.2666596283969946,0.20238579174552046,0.17938132762908934
