fold,idx,alpha,y_obs,y_pred,xc_lo,xc_hi,xc_cov,xc_wid,xc_is
0,0,0.500000,2.061113,2.056522,1.965523,2.147521,1,0.181998,0.181998
0,5,0.500000,2.328645,2.304211,2.213212,2.395209,1,0.181998,0.181998
0,12,0.500000,2.903090,2.529114,2.438115,2.620113,0,0.181998,1.313905
0,13,0.500000,1.090611,0.906965,0.815966,0.997964,0,0.181998,0.552585
0,33,0.500000,2.339888,2.438583,2.347584,2.529582,0,0.181998,0.212780
0,36,0.500000,1.888179,1.692494,1.601495,1.783493,0,0.181998,0.600746
0,45,0.500000,0.641474,0.824301,0.733302,0.915300,0,0.181998,0.549310
0,46,0.500000,2.133762,1.995216,1.904217,2.086215,0,0.181998,0.372189
0,48,0.500000,2.398044,2.305531,2.214532,2.396529,0,0.181998,0.188057
0,50,0.500000,1.212188,1.383645,1.292646,1.474644,0,0.181998,0.503831
0,54,0.500000,0.404834,0.696691,0.605692,0.787689,0,0.181998,0.985430
0,57,0.500000,1.975432,1.867979,1.776980,1.958978,0,0.181998,0.247815
0,0,0.400000,2.061113,2.056522,1.936914,2.176130,1,0.239216,0.239216
0,5,0.400000,2.328645,2.304211,2.184603,2.423819,1,0.239216,0.239216
0,12,0.400000,2.903090,2.529114,2.409506,2.648722,0,0.239216,1.511055
0,13,0.400000,1.090611,0.906965,0.787357,1.026573,0,0.239216,0.559405
0,33,0.400000,2.339888,2.438583,2.318975,2.558191,1,0.239216,0.239216
0,36,0.400000,1.888179,1.692494,1.572886,1.812102,0,0.239216,0.619605
0,45,0.400000,0.641474,0.824301,0.704693,0.943909,0,0.239216,0.555311
0,46,0.400000,2.133762,1.995216,1.875608,2.114824,0,0.239216,0.333909
0,48,0.400000,2.398044,2.305531,2.185923,2.425139,1,0.239216,0.239216
0,50,0.400000,1.212188,1.383645,1.264037,1.503253,0,0.239216,0.498462
0,54,0.400000,0.404834,0.696691,0.577083,0.816299,0,0.239216,1.100460
0,57,0.400000,1.975432,1.867979,1.748371,1.987587,1,0.239216,0.239216
0,0,0.300000,2.061113,2.056522,1.897253,2.215790,1,0.318537,0.318537
0,5,0.300000,2.328645,2.304211,2.144942,2.463479,1,0.318537,0.318537
0,12,0.300000,2.903090,2.529114,2.369846,2.688383,0,0.318537,1.749919
0,13,0.300000,1.090611,0.906965,0.747696,1.066233,0,0.318537,0.481052
0,33,0.300000,2.339888,2.438583,2.279314,2.597851,1,0.318537,0.318537
0,36,0.300000,1.888179,1.692494,1.533225,1.851762,0,0.318537,0.561319
0,45,0.300000,0.641474,0.824301,0.665033,0.983569,0,0.318537,0.475593
0,46,0.300000,2.133762,1.995216,1.835947,2.154484,1,0.318537,0.318537
0,48,0.300000,2.398044,2.305531,2.146262,2.464799,1,0.318537,0.318537
0,50,0.300000,1.212188,1.383645,1.224376,1.542913,0,0.318537,0.399795
0,54,0.300000,0.404834,0.696691,0.537422,0.855959,0,0.318537,1.202459
0,57,0.300000,1.975432,1.867979,1.708710,2.027247,1,0.318537,0.318537
0,0,0.200000,2.061113,2.056522,1.820702,2.292341,1,0.471639,0.471639
0,5,0.200000,2.328645,2.304211,2.068391,2.540030,1,0.471639,0.471639
0,12,0.200000,2.903090,2.529114,2.293295,2.764934,0,0.471639,1.853202
0,13,0.200000,1.090611,0.906965,0.671146,1.142784,1,0.471639,0.471639
0,33,0.200000,2.339888,2.438583,2.202763,2.674402,1,0.471639,0.471639
0,36,0.200000,1.888179,1.692494,1.456674,1.928313,1,0.471639,0.471639
0,45,0.200000,0.641474,0.824301,0.588482,1.060120,1,0.471639,0.471639
0,46,0.200000,2.133762,1.995216,1.759396,2.231035,1,0.471639,0.471639
0,48,0.200000,2.398044,2.305531,2.069711,2.541350,1,0.471639,0.471639
0,50,0.200000,1.212188,1.383645,1.147825,1.619464,1,0.471639,0.471639
0,54,0.200000,0.404834,0.696691,0.460871,0.932510,0,0.471639,1.032013
0,57,0.200000,1.975432,1.867979,1.632159,2.103798,1,0.471639,0.471639
0,0,0.150000,2.061113,2.056522,1.702368,2.410676,1,0.708309,0.708309
0,5,0.150000,2.328645,2.304211,1.950056,2.658365,1,0.708309,0.708309
0,12,0.150000,2.903090,2.529114,2.174960,2.883269,0,0.708309,0.972594
0,13,0.150000,1.090611,0.906965,0.552811,1.261119,1,0.708309,0.708309
0,33,0.150000,2.339888,2.438583,2.084429,2.792737,1,0.708309,0.708309
0,36,0.150000,1.888179,1.692494,1.338339,2.046648,1,0.708309,0.708309
0,45,0.150000,0.641474,0.824301,0.470147,1.178455,1,0.708309,0.708309
0,46,0.150000,2.133762,1.995216,1.641061,2.349370,1,0.708309,0.708309
0,48,0.150000,2.398044,2.305531,1.951376,2.659685,1,0.708309,0.708309
0,50,0.150000,1.212188,1.383645,1.029490,1.737799,1,0.708309,0.708309
0,54,0.150000,0.404834,0.696691,0.342536,1.050845,1,0.708309,0.708309
0,57,0.150000,1.975432,1.867979,1.513824,2.222133,1,0.708309,0.708309
0,0,0.100000,2.061113,2.056522,1.644243,2.468801,1,0.824558,0.824558
0,5,0.100000,2.328645,2.304211,1.891932,2.716490,1,0.824558,0.824558
0,12,0.100000,2.903090,2.529114,2.116835,2.941393,1,0.824558,0.824558
0,13,0.100000,1.090611,0.906965,0.494686,1.319244,1,0.824558,0.824558
0,33,0.100000,2.339888,2.438583,2.026304,2.850862,1,0.824558,0.824558
0,36,0.100000,1.888179,1.692494,1.280215,2.104773,1,0.824558,0.824558
0,45,0.100000,0.641474,0.824301,0.412022,1.236580,1,0.824558,0.824558
0,46,0.100000,2.133762,1.995216,1.582937,2.407495,1,0.824558,0.824558
0,48,0.100000,2.398044,2.305531,1.893252,2.717809,1,0.824558,0.824558
0,50,0.100000,1.212188,1.383645,0.971366,1.795924,1,0.824558,0.824558
0,54,0.100000,0.404834,0.696691,0.284412,1.108969,1,0.824558,0.824558
0,57,0.100000,1.975432,1.867979,1.455700,2.280258,1,0.824558,0.824558
0,0,0.050000,2.061113,2.056522,1.608873,2.504171,1,0.895298,0.895298
0,5,0.050000,2.328645,2.304211,1.856562,2.751860,1,0.895298,0.895298
0,12,0.050000,2.903090,2.529114,2.081465,2.976763,1,0.895298,0.895298
0,13,0.050000,1.090611,0.906965,0.459316,1.354614,1,0.895298,0.895298
0,33,0.050000,2.339888,2.438583,1.990934,2.886232,1,0.895298,0.895298
0,36,0.050000,1.888179,1.692494,1.244845,2.140143,1,0.895298,0.895298
0,45,0.050000,0.641474,0.824301,0.376652,1.271950,1,0.895298,0.895298
0,46,0.050000,2.133762,1.995216,1.547567,2.442865,1,0.895298,0.895298
0,48,0.050000,2.398044,2.305531,1.857882,2.753179,1,0.895298,0.895298
0,50,0.050000,1.212188,1.383645,0.935996,1.831294,1,0.895298,0.895298
0,54,0.050000,0.404834,0.696691,0.249042,1.144339,1,0.895298,0.895298
0,57,0.050000,1.975432,1.867979,1.420330,2.315628,1,0.895298,0.895298
0,0,0.010000,2.061113,2.056522,1.441815,2.671228,1,1.229413,1.229413
0,5,0.010000,2.328645,2.304211,1.689504,2.918917,1,1.229413,1.229413
0,12,0.010000,2.903090,2.529114,1.914408,3.143821,1,1.229413,1.229413
0,13,0.010000,1.090611,0.906965,0.292258,1.521671,1,1.229413,1.229413
0,33,0.010000,2.339888,2.438583,1.823876,3.053289,1,1.229413,1.229413
0,36,0.010000,1.888179,1.692494,1.077787,2.307200,1,1.229413,1.229413
0,45,0.010000,0.641474,0.824301,0.209594,1.439008,1,1.229413,1.229413
0,46,0.010000,2.133762,1.995216,1.380509,2.609922,1,1.229413,1.229413
0,48,0.010000,2.398044,2.305531,1.690824,2.920237,1,1.229413,1.229413
0,50,0.010000,1.212188,1.383645,0.768938,1.998351,1,1.229413,1.229413
0,54,0.010000,0.404834,0.696691,0.081984,1.311397,1,1.229413,1.229413
0,57,0.010000,1.975432,1.867979,1.253272,2.482685,1,1.229413,1.229413
1,3,0.500000,0.447158,0.487224,0.371838,0.602610,1,0.230773,0.230773
1,4,0.500000,2.455439,2.717728,2.602342,2.833115,0,0.230773,0.818385
1,6,0.500000,1.769451,1.551421,1.436035,1.666808,0,0.230773,0.641347
1,8,0.500000,2.261120,2.412349,2.296963,2.527735,0,0.230773,0.374143
1,17,0.500000,2.221023,2.100437,1.985050,2.215823,0,0.230773,0.251572
1,19,0.500000,2.018617,1.954912,1.839525,2.070298,1,0.230773,0.230773
1,31,0.500000,1.869935,2.064345,1.948958,2.179731,0,0.230773,0.546865
1,34,0.500000,1.905256,2.008008,1.892622,2.123395,1,0.230773,0.230773
1,40,0.500000,0.558709,0.778049,0.662663,0.893436,0,0.230773,0.646591
1,43,0.500000,0.914343,1.137414,1.022028,1.252801,0,0.230773,0.661512
1,52,0.500000,1.466126,1.682734,1.567347,1.798120,0,0.230773,0.635659
1,58,0.500000,2.211227,2.788230,2.672844,2.903616,0,0.230773,2.077237
1,3,0.400000,0.447158,0.487224,0.331693,0.642755,1,0.311061,0.311061
1,4,0.400000,2.455439,2.717728,2.562198,2.873259,0,0.311061,0.844855
1,6,0.400000,1.769451,1.551421,1.395891,1.706952,0,0.311061,0.623558
1,8,0.400000,2.261120,2.412349,2.256818,2.567880,1,0.311061,0.311061
1,17,0.400000,2.221023,2.100437,1.944906,2.255967,1,0.311061,0.311061
1,19,0.400000,2.018617,1.954912,1.799381,2.110442,1,0.311061,0.311061
1,31,0.400000,1.869935,2.064345,1.908814,2.219875,0,0.311061,0.505456
1,34,0.400000,1.905256,2.008008,1.852478,2.163539,1,0.311061,0.311061
1,40,0.400000,0.558709,0.778049,0.622519,0.933580,0,0.311061,0.630113
1,43,0.400000,0.914343,1.137414,0.981884,1.292945,0,0.311061,0.648764
1,52,0.400000,1.466126,1.682734,1.527203,1.838264,0,0.311061,0.616448
1,58,0.400000,2.211227,2.788230,2.632699,2.943760,0,0.311061,2.418421
1,3,0.300000,0.447158,0.487224,0.292333,0.682115,1,0.389783,0.389783
1,4,0.300000,2.455439,2.717728,2.522837,2.912619,0,0.389783,0.839103
1,6,0.300000,1.769451,1.551421,1.356530,1.746312,0,0.389783,0.544041
1,8,0.300000,2.261120,2.412349,2.217458,2.607240,1,0.389783,0.389783
1,17,0.300000,2.221023,2.100437,1.905545,2.295328,1,0.389783,0.389783
1,19,0.300000,2.018617,1.954912,1.760020,2.149803,1,0.389783,0.389783
1,31,0.300000,1.869935,2.064345,1.869454,2.259236,1,0.389783,0.389783
1,34,0.300000,1.905256,2.008008,1.813117,2.202900,1,0.389783,0.389783
1,40,0.300000,0.558709,0.778049,0.583158,0.972941,0,0.389783,0.552780
1,43,0.300000,0.914343,1.137414,0.942523,1.332306,0,0.389783,0.577649
1,52,0.300000,1.466126,1.682734,1.487842,1.877625,0,0.389783,0.534560
1,58,0.300000,2.211227,2.788230,2.593339,2.983121,0,0.389783,2.937191
1,3,0.200000,0.447158,0.487224,0.240341,0.734107,1,0.493766,0.493766
1,4,0.200000,2.455439,2.717728,2.470845,2.964611,0,0.493766,0.647831
1,6,0.200000,1.769451,1.551421,1.304538,1.798304,1,0.493766,0.493766
1,8,0.200000,2.261120,2.412349,2.165466,2.659232,1,0.493766,0.493766
1,17,0.200000,2.221023,2.100437,1.853554,2.347320,1,0.493766,0.493766
1,19,0.200000,2.018617,1.954912,1.708029,2.201795,1,0.493766,0.493766
1,31,0.200000,1.869935,2.064345,1.817462,2.311228,1,0.493766,0.493766
1,34,0.200000,1.905256,2.008008,1.761125,2.254891,1,0.493766,0.493766
1,40,0.200000,0.558709,0.778049,0.531167,1.024932,1,0.493766,0.493766
1,43,0.200000,0.914343,1.137414,0.890531,1.384297,1,0.493766,0.493766
1,52,0.200000,1.466126,1.682734,1.435851,1.929617,1,0.493766,0.493766
1,58,0.200000,2.211227,2.788230,2.541347,3.035113,0,0.493766,3.794962
1,3,0.150000,0.447158,0.487224,0.212666,0.761782,1,0.549117,0.549117
1,4,0.150000,2.455439,2.717728,2.443170,2.992287,1,0.549117,0.549117
1,6,0.150000,1.769451,1.551421,1.276863,1.825980,1,0.549117,0.549117
1,8,0.150000,2.261120,2.412349,2.137791,2.686907,1,0.549117,0.549117
1,17,0.150000,2.221023,2.100437,1.825878,2.374995,1,0.549117,0.549117
1,19,0.150000,2.018617,1.954912,1.680353,2.229470,1,0.549117,0.549117
1,31,0.150000,1.869935,2.064345,1.789786,2.338903,1,0.549117,0.549117
1,34,0.150000,1.905256,2.008008,1.733450,2.282567,1,0.549117,0.549117
1,40,0.150000,0.558709,0.778049,0.503491,1.052608,1,0.549117,0.549117
1,43,0.150000,0.914343,1.137414,0.862856,1.411973,1,0.549117,0.549117
1,52,0.150000,1.466126,1.682734,1.408175,1.957292,1,0.549117,0.549117
1,58,0.150000,2.211227,2.788230,2.513672,3.062788,0,0.549117,4.581706
1,3,0.100000,0.447158,0.487224,0.199953,0.774495,1,0.574542,0.574542
1,4,0.100000,2.455439,2.717728,2.430457,3.004999,1,0.574542,0.574542
1,6,0.100000,1.769451,1.551421,1.264150,1.838692,1,0.574542,0.574542
1,8,0.100000,2.261120,2.412349,2.125078,2.699620,1,0.574542,0.574542
1,17,0.100000,2.221023,2.100437,1.813165,2.387708,1,0.574542,0.574542
1,19,0.100000,2.018617,1.954912,1.667640,2.242183,1,0.574542,0.574542
1,31,0.100000,1.869935,2.064345,1.777074,2.351616,1,0.574542,0.574542
1,34,0.100000,1.905256,2.008008,1.720737,2.295279,1,0.574542,0.574542
1,40,0.100000,0.558709,0.778049,0.490778,1.065321,1,0.574542,0.574542
1,43,0.100000,0.914343,1.137414,0.850143,1.424686,1,0.574542,0.574542
1,52,0.100000,1.466126,1.682734,1.395463,1.970005,1,0.574542,0.574542
1,58,0.100000,2.211227,2.788230,2.500959,3.075501,0,0.574542,6.369169
1,3,0.050000,0.447158,0.487224,0.061485,0.912963,1,0.851477,0.851477
1,4,0.050000,2.455439,2.717728,2.291990,3.143467,1,0.851477,0.851477
1,6,0.050000,1.769451,1.551421,1.125683,1.977160,1,0.851477,0.851477
1,8,0.050000,2.261120,2.412349,1.986610,2.838088,1,0.851477,0.851477
1,17,0.050000,2.221023,2.100437,1.674698,2.526175,1,0.851477,0.851477
1,19,0.050000,2.018617,1.954912,1.529173,2.380650,1,0.851477,0.851477
1,31,0.050000,1.869935,2.064345,1.638606,2.490083,1,0.851477,0.851477
1,34,0.050000,1.905256,2.008008,1.582270,2.433747,1,0.851477,0.851477
1,40,0.050000,0.558709,0.778049,0.352311,1.203788,1,0.851477,0.851477
