Model,R2_A,R2_B,Delta_AB
TabPFN,0.9189736603163304,0.6691750407563944,0.24979861955993599
RF,0.891934064040766,0.6575593129455818,0.23437475109518424
GBR,0.8823568845041139,0.624387970653807,0.25796891385030685
XGBoost,0.8755766251867899,0.6295705686635998,0.24600605652319008
AdaBoost,0.8749433587451497,0.6211716024659083,0.2537717562792414
KNN,0.7540407159790008,0.6078610351101471,0.1461796808688537
SVR,0.6499083792405872,0.4204386994475947,0.2294696797929925
MLP,0.5005449164385533,0.11560449616845479,0.38494042027009845
ElasticNet,0.4994362577733209,0.19103165688004747,0.30840460089327343
Lasso,0.4937591340395049,0.17627545439026499,0.3174836796492399
Ridge,0.48815837587002503,0.2759522172307199,0.21220615863930514
