number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.8309297453457668,2026-09-15 18:15:22.036638,2026-09-15 18:15:22.860840,0 days 00:00:00.824202,17,5,7,412,COMPLETE
1,0.8360120673668211,2026-09-15 18:15:22.860840,2026-09-15 18:15:23.519503,0 days 00:00:00.658663,13,3,7,313,COMPLETE
2,0.8381437407422846,2026-09-15 18:15:23.519503,2026-09-15 18:15:23.958149,0 days 00:00:00.438646,16,4,4,205,COMPLETE
3,0.8369128489989156,2026-09-15 18:15:23.958149,2026-09-15 18:15:24.652353,0 days 00:00:00.694204,16,2,8,341,COMPLETE
4,0.8346449624241684,2026-09-15 18:15:24.652353,2026-09-15 18:15:25.217673,0 days 00:00:00.565320,18,4,5,283,COMPLETE
5,0.8222294891800535,2026-09-15 18:15:25.217673,2026-09-15 18:15:25.408917,0 days 00:00:00.191244,13,5,10,73,COMPLETE
6,0.8297108759942152,2026-09-15 18:15:25.409958,2026-09-15 18:15:25.702696,0 days 00:00:00.292738,6,4,9,125,COMPLETE
7,0.835149526741358,2026-09-15 18:15:25.702696,2026-09-15 18:15:25.925405,0 days 00:00:00.222709,2,2,4,98,COMPLETE
8,0.8302747762544472,2026-09-15 18:15:25.926410,2026-09-15 18:15:26.628522,0 days 00:00:00.702112,10,1,2,347,COMPLETE
9,0.8334778905379944,2026-09-15 18:15:26.628522,2026-09-15 18:15:26.880748,0 days 00:00:00.252226,9,3,5,107,COMPLETE
10,0.8379848278692612,2026-09-15 18:15:26.880748,2026-09-15 18:15:27.328853,0 days 00:00:00.448105,20,4,2,207,COMPLETE
11,0.83736611898553,2026-09-15 18:15:27.328853,2026-09-15 18:15:27.763845,0 days 00:00:00.434992,20,4,2,212,COMPLETE
12,0.8418886172465309,2026-09-15 18:15:27.763845,2026-09-15 18:15:28.207027,0 days 00:00:00.443182,20,3,3,199,COMPLETE
13,0.8417033484787936,2026-09-15 18:15:28.207027,2026-09-15 18:15:28.660825,0 days 00:00:00.453798,15,3,4,210,COMPLETE
14,0.8422565246426496,2026-09-15 18:15:28.660825,2026-09-15 18:15:29.654948,0 days 00:00:00.994123,14,2,4,498,COMPLETE
15,0.8314585045853558,2026-09-15 18:15:29.654948,2026-09-15 18:15:30.411260,0 days 00:00:00.756312,7,1,3,384,COMPLETE
16,0.8425104195324534,2026-09-15 18:15:30.411260,2026-09-15 18:15:31.352141,0 days 00:00:00.940881,13,2,6,465,COMPLETE
17,0.8434597778603189,2026-09-15 18:15:31.352141,2026-09-15 18:15:32.287932,0 days 00:00:00.935791,13,2,6,482,COMPLETE
18,0.8429234013195087,2026-09-15 18:15:32.287932,2026-09-15 18:15:33.273493,0 days 00:00:00.985561,12,2,6,492,COMPLETE
19,0.8336788869682471,2026-09-15 18:15:33.273493,2026-09-15 18:15:34.157664,0 days 00:00:00.884171,11,1,6,433,COMPLETE
20,0.8426143634256823,2026-09-15 18:15:34.157664,2026-09-15 18:15:35.109447,0 days 00:00:00.951783,8,2,7,480,COMPLETE
21,0.8420637696073202,2026-09-15 18:15:35.109447,2026-09-15 18:15:36.069329,0 days 00:00:00.959882,8,2,7,491,COMPLETE
22,0.8396019979157012,2026-09-15 18:15:36.069329,2026-09-15 18:15:36.981773,0 days 00:00:00.912444,5,2,8,448,COMPLETE
23,0.8317106551536765,2026-09-15 18:15:36.981773,2026-09-15 18:15:37.757175,0 days 00:00:00.775402,11,1,8,393,COMPLETE
24,0.843161503464704,2026-09-15 18:15:37.757175,2026-09-15 18:15:38.696358,0 days 00:00:00.939183,9,2,6,459,COMPLETE
25,0.8339144873612119,2026-09-15 18:15:38.696358,2026-09-15 18:15:39.600826,0 days 00:00:00.904468,11,1,5,440,COMPLETE
26,0.8417072141097665,2026-09-15 18:15:39.600826,2026-09-15 18:15:40.348081,0 days 00:00:00.747255,4,2,6,368,COMPLETE
27,0.8411307262642219,2026-09-15 18:15:40.348081,2026-09-15 18:15:41.152885,0 days 00:00:00.804804,12,3,5,418,COMPLETE
28,0.8409916069296509,2026-09-15 18:15:41.152885,2026-09-15 18:15:42.074771,0 days 00:00:00.921886,9,3,6,460,COMPLETE
29,0.8413123677261737,2026-09-15 18:15:42.074771,2026-09-15 18:15:42.882419,0 days 00:00:00.807648,18,2,7,409,COMPLETE
