dataset,fold,idx,y_true,y_pred,lo,hi,n_cal,lower_m3,upper_m3,observed_m3,backtransformed_prediction_m3
Korea,2,0,4.176698846118572,3.9277463,3.5737775606318536,4.281715031226057,15,3747.809956590973,19130.002695710915,15021.000000000004,8467.326373580769
Korea,4,1,3.3660492098002357,3.2256298,2.7106352518966808,3.7406243611404286,15,513.6121063036578,5503.3148653127855,2323.0000000000014,1681.2403322471785
Korea,2,2,3.59659709562646,3.5158148,3.161846045891864,3.8697835164860654,15,1451.5969462343437,7409.408111986424,3949.999999999999,3279.5541039124396
Korea,4,3,4.220787776165875,3.9693737,3.454379148381056,4.484368257624803,15,2846.9454671871795,30504.805315167167,16625.999999999993,9319.094162978268
Korea,3,4,4.072507235528804,3.9940028,3.571274165551287,4.416731472571271,15,3726.268674524508,26105.467353007767,11817.000000000004,9862.858444305442
Korea,0,5,3.1792644643390253,3.4486206,3.0149103720819377,3.8823307434881302,15,1034.9285603171,7626.59603797913,1510.9999999999998,2809.445424306684
Korea,1,6,2.863322860120456,3.1159916,2.714961611472768,3.517021573341685,15,518.7541827413662,3288.6796680724865,730.0,1306.145624791387
Korea,2,7,3.6500159524718394,3.4162574,3.0622886461421075,3.7702261167363114,15,1154.2201349347777,5891.503184123683,4467.000000000008,2607.698636995817
Korea,3,8,3.4665710723863543,3.3556437,2.9329150957270684,3.7783724027470527,15,856.8703112971726,6003.056110865207,2928.0000000000005,2268.003393320046
Korea,1,9,3.34966598409663,3.5464551,3.145425163947744,3.947485125816661,15,1397.7360417575508,8861.048748694022,2237.000000000001,3519.290360836755
Korea,1,10,3.686904269568177,3.6052165,3.204186522208852,4.006246484077769,15,1600.2451595525977,10144.869950428614,4862.999999999994,4029.1784271070715
Korea,0,11,3.817631467190515,3.6062162,3.172506006542387,4.03992637794858,15,1487.6679492403068,10962.923357751712,6570.999999999997,4038.4638529669264
Korea,1,12,3.513617073787875,3.3829064,2.981876455985708,3.783936417854624,15,959.127749052597,6080.459748246525,3263.0,2414.940305674941
Korea,4,13,3.820267157160965,3.5465257,3.0315311621597423,4.06152027140349,15,1075.3037544589324,11521.798384444237,6611.000000000006,3519.862512006567
Korea,4,14,3.733197265106569,3.989724,3.4747293662002696,4.504718475444017,15,2983.522835316799,31968.22148287072,5409.999999999992,9766.163708234093
Korea,3,15,4.315823457751156,4.1910725,3.7683438104792657,4.61380111749925,15,5866.02366201666,41096.14807104264,20693.000000000015,15526.461830714321
Korea,4,16,4.098643725817057,4.089093,3.5740986536911143,4.604087762934862,15,3750.58190232384,40187.20135936343,12550.000000000005,12277.021036479035
Korea,4,17,3.85076872692888,3.8523562,3.337361640827955,4.367350750071703,15,2174.511159699423,23299.722578749388,7092.0,7117.970766099846
Korea,3,18,2.812244696800369,2.9901056,2.567376975457293,3.4128342824772773,15,369.29801683684354,2587.22549664107,648.9999999999999,977.4748679950637
Korea,4,19,2.967547976218862,3.3103304,2.795335836308302,3.8253249455520497,15,624.2173509780301,6688.441694932642,927.9999999999997,2043.2918370524897
Korea,0,20,3.966610986681934,3.9163635,3.4826532920038127,4.350073663410006,15,3038.458380915041,22391.008943024044,9259.999999999996,8248.281988674833
Korea,0,21,4.0178677189635055,3.8869424,3.4532322009241008,4.320652572330294,15,2839.436762703308,20924.378739620697,10419.999999999995,7708.012317642367
Korea,3,22,3.2355284469075487,3.3759284,2.9531997484370294,3.7986570554570136,15,897.841650839158,6290.092838553335,1719.999999999999,2376.4484609308643
Korea,1,23,3.231979026831504,3.116786,2.7157560221783346,3.517815984047252,15,519.7039553801601,3294.700820422504,1705.9999999999993,1308.5369783168355
Korea,2,24,3.533772058384718,4.0567236,3.702754859368426,4.410692329962629,15,5043.765182591708,25744.966435618717,3417.9999999999986,11395.24324114757
Korea,3,25,3.550839605065785,3.2783914,2.85566270772658,3.701120014746565,15,717.2370369485881,5024.814281492644,3554.999999999998,1898.4160634143493
Korea,0,26,3.1222158782728267,3.0538146,2.6201044638788127,3.4875248352850057,15,416.9696680293556,3072.7330755813687,1325.0,1131.91704551141
Korea,1,27,3.1122697684172707,2.9666305,2.5656004778973287,3.367660439766245,15,367.79047513853214,2331.6343230370603,1295.0,926.0416071104402
Korea,1,28,3.095518042323151,3.3319793,2.930949293815297,3.7330092556842143,15,853.0005158679843,5407.658476247869,1246.0000000000005,2147.728103427884
Korea,1,29,3.2314695904306814,3.2033446,2.802314602576894,3.604374564445811,15,634.3290523241228,4021.374914457498,1704.0000000000002,1597.145933289594
Korea,0,30,3.255754786643044,3.404899,2.971188696209135,3.838609067615328,15,935.8121860027957,6896.187605330689,1801.9999999999995,2540.38184286458
Korea,2,31,3.670802284260944,3.6876867,3.333717946450335,4.041655417044538,15,2156.3435120429012,11006.656601067742,4685.999999999998,4871.769139234407
Korea,3,32,4.131682809461406,3.789383,3.3666542810603204,4.212111588080305,15,2326.238724408889,16297.14719460154,13542.00000000001,6157.196303890203
Korea,2,33,2.816241299991783,2.9142656,2.560296897332293,3.268234367926496,15,363.32635118057857,1854.532155581717,655.0000000000002,820.8533973778017
Korea,0,34,2.611723308007342,2.9835548,2.549844654384794,3.417265025790987,15,354.6864964227716,2613.7558978117195,409.00000000000006,962.8414982500983
Korea,0,35,2.835056101720116,2.9515772,2.517867000881376,3.385287372287569,15,329.5087873643696,2428.216312266447,683.9999999999999,894.493522584293
Korea,2,36,3.116939646550756,2.881,2.5270313066645684,3.2349687772587714,15,336.5358281100368,1717.784885977592,1309.0000000000005,760.3262769401815
Korea,3,37,3.231214647962601,3.0721264,2.649397735039813,3.494855042059797,15,446.0645757047408,3125.0361247446253,1702.9999999999995,1180.6642141397633
Korea,4,38,3.478566495593844,3.1098282,2.594833679096998,3.624822788340746,15,393.3993872141553,4215.244674121076,3010.0000000000045,1287.7400414129374
Korea,4,39,3.026941627959029,2.954549,2.4395545195511,3.469543628794848,15,275.1404983427591,2948.109625913018,1063.9999999999993,900.6353727079717
Korea,1,40,3.119915410257991,3.0335646,2.63253458663146,3.4345945485003764,15,429.0763589453819,2720.160616840315,1317.9999999999995,1080.350307794747
Korea,3,41,3.059941888061955,3.2118163,2.789087657372576,3.634544964392561,15,615.3010516552505,4310.671859512978,1148.0000000000005,1628.6070107834805
Korea,2,42,3.817763632280368,3.7665331,3.4125644010706964,4.120501871664899,15,2585.6182297356127,13197.809995123991,6573.000000000002,5841.617276132741
Korea,3,43,2.837588438235511,2.9151003,2.492371682564837,3.337828989584821,15,310.7217702922599,2176.852433022277,687.9999999999999,822.4325682289328
Korea,4,44,2.568201724066995,2.8163204,2.301325864689649,3.3313149739333974,15,200.13629914414807,2144.4453054178985,370.0,655.1193089621624
Korea,4,45,2.593286067020457,2.8339047,2.318910188572706,3.348899297816454,15,208.40598581751604,2233.05437253774,391.99999999999994,682.188980649668
Korea,2,46,2.762678563727436,2.649958,2.295989159981829,3.003926630576032,15,197.6920295438453,1009.0823979597706,578.9999999999998,446.6403961065265
Korea,3,47,2.816241299991783,2.8844368,2.461708192269427,3.307165499289411,15,289.53974812781723,2028.4555683879503,655.0000000000002,766.3670077318411
Korea,2,48,3.049605612594973,2.6800685,2.326099757592303,3.034037228186506,15,211.88477794210235,1081.5266569438008,1120.9999999999998,478.7055912029121
Korea,0,49,2.979092900638326,3.0259256,2.5922154505884074,3.4596358219946004,15,391.0348374499099,2881.614109763808,952.9999999999995,1061.5136912364803
Korea,0,50,2.9355072658247128,2.9182324,2.48452225524539,3.351942626651583,15,305.1562401217656,2248.757509565866,862.0,828.3853313286656
Korea,2,51,3.161368002234975,2.9733176,2.6193488878413262,3.327286358435529,15,416.24486400590166,2124.644916027622,1449.9999999999998,940.410782529211
Korea,0,52,3.7897921677306754,3.5799959,3.146285684887113,4.013706056293307,15,1400.508293255416,10320.626379492352,6163.0,3801.8580712191383
Korea,1,53,3.3951515915045425,3.1888762,2.787846171104116,3.5899061329730326,15,613.5446466292269,3889.610671014563,2483.9999999999995,1544.8140120316714
Korea,3,54,3.198657086954422,3.3134146,2.890685920159441,3.7361432271794257,15,777.4740818735613,5446.822554938254,1579.9999999999984,2057.8541927266037
Korea,2,55,3.5094713521025485,3.7640615,3.4100927156611505,4.118030186255353,15,2570.9445840884355,13122.911085083808,3231.999999999999,5808.466648033066
Korea,2,56,3.7370335313338776,3.6845841,3.3306154054804864,4.038552876074689,15,2140.9937794748516,10928.306730394917,5457.999999999998,4837.0892421183935
Korea,1,57,3.3660492098002357,3.3126416,2.911611639701528,3.7136716015704447,15,815.8524831473637,5172.155835533533,2323.0000000000014,2054.1946793417965
Korea,1,58,2.741151598851785,2.9977999,2.5967698924175924,3.398829854286509,15,395.1571935995415,2505.1276144240865,550.9999999999999,994.9468926559775
Korea,1,59,2.9095560292411755,2.980943,2.5799129836193746,3.3819729454882914,15,380.113228207562,2409.7553075439014,812.0000000000003,957.0684503531514
Korea,0,60,2.921686475483602,3.0340424,2.600332172695341,3.467752544101534,15,398.41178164731633,2935.9762904452405,834.9999999999999,1081.539536424653
Korea,0,61,3.126780577012009,3.235744,2.8020338137781047,3.6694541851842977,15,633.9190657043727,4671.476679916033,1339.0,1720.8538983502456
