dataset,fold,idx,y_true,y_pred,lo,hi,n_cal
Korea,0,5,3.1792644643390253,3.4486206,3.0149103720819377,3.8823307434881307,15
Korea,0,11,3.817631467190515,3.6062162,3.172506006542387,4.03992637794858,15
Korea,0,20,3.966610986681934,3.9163635,3.4826532920038127,4.350073663410006,15
Korea,0,21,4.0178677189635055,3.8869424,3.4532322009241008,4.320652572330294,15
Korea,0,26,3.1222158782728267,3.0538146,2.6201044638788127,3.4875248352850057,15
Korea,0,30,3.255754786643044,3.404899,2.971188696209135,3.838609067615328,15
Korea,0,34,2.611723308007342,2.9835548,2.549844654384794,3.417265025790987,15
Korea,0,35,2.835056101720116,2.9515772,2.517867000881376,3.385287372287569,15
Korea,0,49,2.979092900638326,3.0259256,2.5922154505884074,3.4596358219946004,15
Korea,0,50,2.9355072658247128,2.9182324,2.48452225524539,3.351942626651583,15
Korea,0,52,3.7897921677306754,3.5799959,3.1462856848871135,4.013706056293307,15
Korea,0,60,2.921686475483602,3.0340424,2.600332172695341,3.467752544101534,15
Korea,0,61,3.126780577012009,3.235744,2.8020338137781047,3.6694541851842977,15
