dataset,model,transform,score,budget,n_folds,R2,RMSE,MAE
A,RF,raw,R2,30,5,0.8375777932712895,0.25131830011722134,0.19042967242235154
A,RF,raw,R2,100,5,0.8381896162151963,0.25078832358626635,0.18885498340704693
A,RF,raw,RMSE,30,5,0.8401054922242721,0.2490028754041922,0.18850206242158157
A,RF,raw,RMSE,100,5,0.8397162611952664,0.24924013787654778,0.1872722025206955
A,XGBoost,raw,R2,30,5,0.8500921098362426,0.2382077771048808,0.18586137386324092
A,XGBoost,raw,R2,100,5,0.858023240909079,0.2338898157536758,0.18697686854214957
A,XGBoost,raw,RMSE,30,5,0.8492503197665824,0.2386836932230442,0.18692829482091172
A,XGBoost,raw,RMSE,100,5,0.8401509955198888,0.2485751479116302,0.19816604381961267
B,RF,raw,R2,30,5,0.6467703487357552,0.36432480510840054,0.2751674860537795
B,RF,raw,R2,100,5,0.6252220190832174,0.3747228119577217,0.28241832915669884
B,RF,raw,RMSE,30,5,0.6482351053516462,0.36376049743281796,0.2745573359154053
B,RF,raw,RMSE,100,5,0.628447839784884,0.3738964325363959,0.2796479064528688
B,XGBoost,raw,R2,30,5,0.5999400663521485,0.39230378757425843,0.2926132854295666
B,XGBoost,raw,R2,100,5,0.575913589669155,0.40680862849943117,0.2976670616107585
B,XGBoost,raw,RMSE,30,5,0.6382756297735275,0.3753801106607228,0.27103301991398904
B,XGBoost,raw,RMSE,100,5,0.6210767282432548,0.38285888059534534,0.28417864923268876
