dataset,kind,fold,model,R2,RMSE,MAE,n_cal,rank,coverage,width,region,n_test
A,new_random_cv,0,TabPFN,0.9122576206684826,0.1791060908026755,0.1460550845762764,,,,,,
A,split_conformal,0,TabPFN,0.8824495734231146,0.207308808808186,0.1647686841414053,15.0,15.0,0.9166666666666666,0.8678985948219662,,
A,new_random_cv,1,TabPFN,0.8871795411236751,0.1950538768675137,0.1582160085077875,,,,,,
A,split_conformal,1,TabPFN,0.8667811845153152,0.21195488956822586,0.1637199138239814,15.0,15.0,1.0,1.0198209566686427,,
A,new_random_cv,2,TabPFN,0.9429207948360047,0.1388631809946074,0.11260178686967715,,,,,,
A,split_conformal,2,TabPFN,0.8569887393647954,0.2198028243750287,0.14545174542364747,15.0,15.0,0.9166666666666666,0.8866441595154826,,
A,new_random_cv,3,TabPFN,0.9304157483793363,0.19947052512252794,0.14172534909197687,,,,,,
A,split_conformal,3,TabPFN,0.9080686273090988,0.22927416638114512,0.15650674774717624,15.0,15.0,0.9166666666666666,0.8936624263764656,,
A,new_random_cv,4,TabPFN,0.8520691736708076,0.24101913612556242,0.16370791063865092,,,,,,
A,split_conformal,4,TabPFN,0.8570671697584883,0.23691261180781029,0.172507321972035,15.0,15.0,0.8333333333333334,0.7841186804387843,,
A,region_holdout,0,TabPFN,-0.8614629500542303,0.2892676134452628,0.20643282826888543,,,,,Beichuan,3.0
A,region_holdout,0,RF,-0.6588294360440461,0.2730696796964516,0.18237842707033836,,,,,Beichuan,3.0
A,region_holdout,1,TabPFN,0.931666226738228,0.18308677729386125,0.12733579857231855,,,,,Gaochuan,21.0
A,region_holdout,1,RF,0.8661029599507173,0.25628593185165294,0.17717316128634106,,,,,Gaochuan,21.0
A,region_holdout,2,TabPFN,0.9129777429450816,0.15379895455754622,0.1424103495674435,,,,,Longchi,10.0
A,region_holdout,2,RF,0.7334403514074522,0.26917542992419513,0.23749112777481002,,,,,Longchi,10.0
A,region_holdout,3,TabPFN,0.9444620748637667,0.2049573741255929,0.1807274053944894,,,,,Qingping,8.0
A,region_holdout,3,RF,0.9121086431750882,0.25783496248454646,0.22519085200748967,,,,,Qingping,8.0
A,region_holdout,4,TabPFN,0.9079602818890542,0.200365178569453,0.17271631789161496,,,,,Road 213,5.0
A,region_holdout,4,RF,0.958886765705965,0.13391382944016003,0.12560906498109858,,,,,Road 213,5.0
A,region_holdout,5,TabPFN,0.8268525206813881,0.1926612148593162,0.16036133610067876,,,,,Yingxiu,13.0
A,region_holdout,5,RF,0.8265678252252444,0.19281954013403202,0.16829982058713538,,,,,Yingxiu,13.0
B,new_random_cv,0,TabPFN,0.5309850254212011,0.4140940649260322,0.3235105003691237,,,,,,
B,new_random_cv,1,TabPFN,0.780736885287938,0.27192143619826464,0.20041383670116505,,,,,,
B,new_random_cv,2,TabPFN,0.4542050650221473,0.4294008518786135,0.35032352078549955,,,,,,
B,new_random_cv,3,TabPFN,0.7917274480651431,0.34509547904650123,0.2515316787271534,,,,,,
B,new_random_cv,4,TabPFN,0.5947137553638935,0.3989358963076408,0.32794364966711903,,,,,,
B,region_holdout,0,TabPFN,-0.8888593821147854,0.2913885135919916,0.2296797347986046,,,,,Beichuan,3.0
B,region_holdout,0,RF,-0.2731971098159969,0.23923264188494675,0.15756488343720432,,,,,Beichuan,3.0
B,region_holdout,1,TabPFN,0.6879015696288394,0.3912776769277891,0.31536802572751416,,,,,Gaochuan,21.0
B,region_holdout,1,RF,0.7580352435610809,0.34452071166754117,0.28373949051508546,,,,,Gaochuan,21.0
B,region_holdout,2,TabPFN,0.4808272578598035,0.3756593071754375,0.2800668852718908,,,,,Longchi,10.0
B,region_holdout,2,RF,0.43416937093454533,0.3921763842068325,0.27813050923648336,,,,,Longchi,10.0
B,region_holdout,3,TabPFN,0.7662881040699858,0.42044494200269616,0.35030185404333025,,,,,Qingping,8.0
B,region_holdout,3,RF,0.7097440938066264,0.4685535749439595,0.36820936281265554,,,,,Qingping,8.0
B,region_holdout,4,TabPFN,0.11431078822093077,0.6215488757090463,0.5245177909468036,,,,,Road 213,5.0
B,region_holdout,4,RF,0.4312158164412043,0.49809062030172835,0.3816754385647262,,,,,Road 213,5.0
B,region_holdout,5,TabPFN,0.19145303720204498,0.41633107969488037,0.30832296917416124,,,,,Yingxiu,13.0
B,region_holdout,5,RF,0.419044567505529,0.35290484135817834,0.2849870455061228,,,,,Yingxiu,13.0
Korea,new_random_cv,0,TabPFN,0.8649449181349778,0.16452716384056193,0.13257641918822424,,,,,,
Korea,split_conformal,0,TabPFN,0.8515976773110372,0.1724656045816895,0.14331271643548316,15.0,15.0,1.0,0.867420371406193,,
Korea,new_random_cv,1,TabPFN,0.5703092831914038,0.1684773593339575,0.14102345970655106,,,,,,
