ID,District,Aw_m2,Ss_deg,Sw_deg,Lc_m,Rw_m,Rm,Rr,Ff,Re,CR_mm,D_hr,Iavg_mm_hr,Ipeak_mm_hr,AR_mm,GI,V_m3
UM-1,Umyeon,78672,19.3,22.6,672,221.9,0.79,0.33,0.17,0.47,431.5,31,13.9,68.5,264.5,2.0,15021
UM-2,Umyeon,18771,21.7,21.6,295,109.2,0.8,0.37,0.22,0.52,431.5,31,13.9,68.5,264.5,2.0,2323
UM-3,Umyeon,39384,18.8,19.7,446,144.0,0.73,0.32,0.2,0.5,431.5,31,13.9,86.5,354.5,2.0,3950
UM-4,Umyeon,119168,17.1,18.9,646,189.9,0.55,0.29,0.29,0.6,431.5,31,13.9,86.5,354.5,2.0,16626
UM-5,Umyeon,174472,17.8,21.8,604,185.0,0.44,0.31,0.48,0.78,431.5,31,13.9,86.5,354.5,2.0,11817
UM-6,Umyeon,25413,19.8,23.1,402,135.8,0.85,0.34,0.16,0.45,431.5,31,13.9,86.5,354.5,2.0,1511
UM-7,Umyeon,10177,23.2,26.8,219,86.3,0.86,0.39,0.21,0.52,431.5,31,13.9,86.5,354.5,2.0,730
UM-8,Umyeon,37225,22.0,25.1,294,110.0,0.57,0.37,0.43,0.74,431.5,31,13.9,86.5,354.5,2.0,4467
UM-9,Umyeon,32277,16.5,22.2,359,101.9,0.57,0.28,0.25,0.56,431.5,31,13.9,86.5,354.5,2.0,2928
UM-10,Umyeon,46587,17.6,20.6,346,104.3,0.48,0.3,0.39,0.7,431.5,31,13.9,86.5,354.5,2.0,2237
UM-11,Umyeon,60155,15.1,21.7,412,107.6,0.44,0.26,0.35,0.67,431.5,31,13.9,86.5,354.5,2.0,4863
UM-12,Umyeon,51933,19.2,20.5,429,141.0,0.62,0.33,0.28,0.6,431.5,31,13.9,86.5,354.5,0.5,6571
UM-13,Umyeon,27768,14.8,17.1,408,104.5,0.63,0.26,0.17,0.46,431.5,31,13.9,86.5,354.5,2.0,3263
UM-14,Umyeon,49231,14.3,17.5,425,105.3,0.47,0.25,0.27,0.59,431.5,31,13.9,86.5,354.5,2.0,6611
UM-15,Umyeon,127585,13.8,20.3,719,171.5,0.48,0.24,0.25,0.56,431.5,31,13.9,86.5,354.5,2.0,5410
UM-16,Umyeon,261427,11.7,21.6,1076,218.6,0.43,0.2,0.23,0.54,431.5,31,13.9,86.5,354.5,2.0,20693
UM-17,Umyeon,156124,14.5,22.4,919,229.8,0.58,0.25,0.19,0.49,431.5,31,13.9,86.5,354.5,2.0,12550
UM-18,Umyeon,92473,19.9,22.7,490,166.8,0.55,0.34,0.39,0.7,431.5,31,13.9,86.5,354.5,2.0,7092
UM-19,Umyeon,15233,19.8,21.2,163,55.2,0.45,0.34,0.57,0.85,364.5,23,15.8,68.5,264.5,2.0,649
UM-20,Umyeon,38842,16.1,18.4,383,106.2,0.54,0.28,0.27,0.58,364.5,23,15.8,68.5,264.5,2.0,928
UM-21,Umyeon,130312,17.2,20.6,695,205.0,0.57,0.29,0.27,0.59,364.5,23,15.8,68.5,264.5,2.0,9260
UM-22,Umyeon,203087,18.6,25.9,602,191.9,0.43,0.32,0.56,0.84,364.5,23,15.8,68.5,264.5,2.0,10420
UM-23,Umyeon,40541,19.7,25.9,436,147.1,0.73,0.34,0.21,0.52,364.5,23,15.8,68.5,264.5,2.0,1720
UM-24,Umyeon,29572,18.1,22.6,267,82.9,0.48,0.31,0.41,0.73,364.5,23,15.8,68.5,264.5,2.0,1706
UM-25,Umyeon,171501,15.1,23.6,724,189.0,0.46,0.26,0.33,0.65,364.5,23,15.8,68.5,264.5,2.0,3418
UM-26,Umyeon,49722,20.0,22.0,250,85.8,0.38,0.34,0.79,1.0,364.5,23,15.8,68.5,264.5,2.0,3555
UM-27,Umyeon,29912,16.3,18.3,175,49.1,0.28,0.28,0.98,1.12,364.5,23,15.8,68.5,264.5,2.0,1325
UM-28,Umyeon,12480,14.6,18.7,321,81.0,0.72,0.25,0.12,0.39,364.5,23,15.8,68.5,264.5,2.0,1295
UM-29,Umyeon,40899,21.8,18.6,246,91.4,0.45,0.37,0.67,0.93,364.5,23,15.8,68.5,264.5,2.0,1246
UM-30,Umyeon,24194,24.1,23.1,331,135.1,0.87,0.41,0.22,0.53,364.5,23,15.8,68.5,264.5,2.0,1704
UM-31,Umyeon,38844,19.0,21.8,462,150.6,0.76,0.33,0.18,0.48,364.5,23,15.8,68.5,264.5,2.0,1802
UM-32,Umyeon,74275,23.1,25.0,438,171.4,0.63,0.39,0.39,0.7,364.5,23,15.8,68.5,264.5,2.0,4686
UM-33,Umyeon,93379,25.0,22.2,505,213.5,0.7,0.42,0.37,0.68,364.5,23,15.8,68.5,264.5,2.0,13542
UM-34,Umyeon,13932,14.4,19.4,158,39.2,0.33,0.25,0.56,0.84,364.5,23,15.8,68.5,264.5,2.0,655
UM-35,Umyeon,17160,18.2,20.1,192,60.0,0.46,0.31,0.46,0.77,364.5,23,15.8,68.5,264.5,2.0,409
UM-36,Umyeon,14780,18.5,19.8,174,55.0,0.45,0.32,0.49,0.79,364.5,23,15.8,68.5,264.5,2.0,684
UM-37,Umyeon,14090,12.7,18.6,189,41.4,0.35,0.22,0.4,0.71,364.5,23,15.8,68.5,264.5,2.0,1309
UM-38,Umyeon,23720,13.0,17.1,229,51.4,0.33,0.22,0.45,0.76,364.5,23,15.8,68.5,264.5,2.0,1703
UM-39,Umyeon,28452,19.4,18.6,164,54.5,0.32,0.33,1.05,1.16,364.5,23,15.8,68.5,264.5,2.0,3010
UM-40,Umyeon,16172,15.9,18.0,154,42.3,0.33,0.27,0.68,0.93,364.5,23,15.8,68.5,264.5,2.0,1064
YI-1,Yongin,25339,10.5,16.4,383,70.0,0.44,0.18,0.17,0.47,319.0,26,12.3,97.0,751.5,2.0,1318
YI-2,Yongin,36435,13.3,22.0,395,90.6,0.47,0.23,0.23,0.55,319.0,26,12.3,97.0,751.5,0.5,1148
YI-3,Yongin,107270,13.6,20.0,576,135.0,0.41,0.23,0.32,0.64,319.0,26,12.3,97.0,751.5,0.5,6573
YI-4,Yongin,13803,10.3,19.7,223,40.0,0.34,0.18,0.28,0.59,319.0,26,12.3,97.0,751.5,0.5,688
YI-5,Yongin,2334,16.6,23.9,140,39.9,0.83,0.28,0.12,0.39,319.0,26,12.3,97.0,751.5,0.5,370
YI-6,Yongin,4051,15.3,21.5,133,35.1,0.55,0.26,0.23,0.54,319.0,26,12.3,97.0,751.5,0.5,392
YI-7,Yongin,4117,18.0,22.3,151,46.7,0.73,0.31,0.18,0.48,319.0,26,12.3,97.0,751.5,0.5,579
YI-8,Yongin,13021,10.2,16.9,169,30.0,0.26,0.18,0.46,0.76,319.0,26,12.3,97.0,751.5,0.5,655
YI-9,Yongin,4837,13.0,17.3,160,36.1,0.52,0.23,0.19,0.49,319.0,26,12.3,97.0,751.5,0.5,1121
YI-10,Yongin,29561,18.8,21.4,242,77.9,0.45,0.32,0.5,0.8,319.0,26,12.3,97.0,751.5,0.5,953
YI-11,Yongin,18310,14.4,20.6,251,62.7,0.46,0.25,0.29,0.61,319.0,26,12.3,97.0,751.5,0.5,862
YI-12,Yongin,21970,13.5,18.8,328,76.5,0.52,0.23,0.2,0.51,319.0,26,12.3,97.0,751.5,0.5,1450
YJ-1,Yeoju,75523,11.7,19.8,609,123.4,0.45,0.2,0.2,0.51,358.5,32,11.2,81.5,360.0,0.5,6163
YJ-2,Yeoju,28183,14.4,20.5,451,112.2,0.67,0.25,0.14,0.42,358.5,32,11.2,81.5,360.0,0.5,2484
YJ-3,Yeoju,42603,12.4,17.9,443,94.8,0.46,0.21,0.22,0.53,358.5,32,11.2,81.5,360.0,0.5,1580
YJ-4,Yeoju,87997,10.8,18.0,691,130.0,0.44,0.19,0.18,0.48,358.5,32,11.2,81.5,360.0,0.5,3232
YJ-5,Yeoju,75398,12.0,21.5,626,130.0,0.47,0.21,0.19,0.49,358.5,32,11.2,81.5,360.0,0.5,5458
YJ-6,Yeoju,48163,10.8,18.1,542,101.3,0.46,0.19,0.16,0.46,358.5,32,11.2,81.5,360.0,0.5,2323
YJ-7,Yeoju,17100,11.6,18.9,360,72.7,0.56,0.2,0.13,0.41,358.5,32,11.2,81.5,360.0,0.5,551
YJ-8,Yeoju,13250,9.9,15.2,311,53.4,0.46,0.17,0.14,0.42,358.5,32,11.2,81.5,360.0,0.5,812
YJ-9,Yeoju,14846,11.4,17.6,354,70.0,0.57,0.2,0.12,0.39,358.5,32,11.2,81.5,360.0,0.5,835
YJ-10,Yeoju,34828,11.5,17.8,471,93.9,0.5,0.2,0.16,0.45,358.5,32,11.2,81.5,360.0,0.5,1339
YJ-11,Yeoju,35003,13.6,19.0,463,108.5,0.58,0.23,0.16,0.46,358.5,32,11.2,81.5,360.0,0.5,1300
