No,A_km2,H_m,L_km,D_km,J_permille,V_landslide_1e4m3,V0_1e4m3,Region
1,14.74,882,4.56,1.46,193.42,485.76,115.11,Gaochuan
2,0.69,565,1.93,2.87,292.75,49.53,10.68,Gaochuan
3,1.54,374,2.22,3.19,168.47,25.58,6.2,Gaochuan
4,0.65,180,1.45,0.57,124.14,7.01,2.8,Gaochuan
5,8.17,1150,3.94,0.06,291.88,1603.25,285.39,Gaochuan
6,8.91,970,3.1,4.42,312.9,920.7,213.13,Gaochuan
7,3.83,640,2.41,0.88,265.56,195.9,58.81,Gaochuan
8,0.5,470,1.2,2.08,391.67,42.84,8.24,Gaochuan
9,3.25,920,2.61,2.54,352.49,996.46,182.44,Gaochuan
10,0.1,188,0.58,1.44,324.14,11.6,2.82,Gaochuan
11,2.22,754,1.43,0.85,527.27,375.7,65.23,Gaochuan
12,0.72,531,0.74,0.46,717.57,35.1,7.86,Gaochuan
13,30.84,910,4.01,3.42,226.93,2000.0,800.0,Gaochuan
14,2.17,1000,1.15,2.52,869.57,27.66,12.32,Gaochuan
15,3.05,698,2.17,1.6,321.66,299.21,69.92,Gaochuan
16,0.86,972,1.46,8.86,665.75,64.56,18.12,Gaochuan
17,2.97,1027,1.12,10.16,916.96,121.23,66.35,Gaochuan
18,3.66,865,1.26,5.3,686.51,592.74,166.35,Gaochuan
19,0.74,529,0.78,2.5,678.21,112.51,8.56,Gaochuan
20,4.06,772,2.8,5.5,275.71,405.1,104.38,Gaochuan
21,0.72,643,0.68,0.26,945.59,45.36,6.35,Gaochuan
22,0.86,585,0.74,1.55,790.54,34.51,5.34,Qingping
23,0.53,463,0.67,1.29,691.04,29.84,4.31,Qingping
24,0.62,532,0.84,0.17,633.33,35.21,5.38,Qingping
25,0.69,546,0.74,0.57,737.84,30.64,4.71,Qingping
26,7.81,1490,4.9,3.6,304.08,1580.2,657.3,Qingping
27,1.36,1177,2.59,0.87,454.44,334.3,156.8,Qingping
28,5.72,986,3.66,0.16,269.4,432.66,108.61,Qingping
29,8.43,963,4.02,3.8,239.55,964.86,292.1,Qingping
30,5.24,876,2.08,7.6,421.15,234.64,51.42,Yingxiu
31,6.51,886,4.98,10.5,177.91,287.52,67.93,Yingxiu
32,6.27,1870,5.6,16.89,333.93,358.26,74.12,Yingxiu
33,5.35,1288,3.6,0.13,357.78,358.14,98.4,Yingxiu
34,10.7,1842,5.82,0.42,316.49,1151.41,218.72,Yingxiu
35,2.18,1820,2.72,0.72,669.12,322.3,80.4,Yingxiu
36,54.2,2900,14.2,0.47,204.23,2180.57,505.34,Yingxiu
37,0.06,984,1.58,0.65,622.78,222.0,77.3,Yingxiu
38,7.5,935,5.2,4.39,179.81,647.48,150.5,Yingxiu
39,2.18,1220,2.68,4.93,455.22,122.3,92.51,Yingxiu
40,5.21,1678,3.4,2.51,493.53,321.32,89.16,Yingxiu
41,1.21,1596,1.14,2.07,140.0,13.8,3.62,Yingxiu
42,10.39,1453,5.51,2.61,263.7,727.04,108.91,Yingxiu
43,16.49,2382,6.2,0.68,384.19,742.68,194.52,Road 213
44,1.12,1000,3.25,1.36,307.69,35.93,8.21,Road 213
45,0.97,1600,1.87,2.1,853.33,48.84,15.3,Road 213
46,0.29,1580,2.1,1.97,752.38,17.22,4.38,Road 213
47,21.7,2952,8.9,0.57,331.69,366.67,136.07,Road 213
48,0.46,650,1.3,1.68,500.0,31.63,8.97,Longchi
49,8.63,1605,4.45,1.49,360.67,858.94,250.06,Longchi
50,1.98,965,2.44,0.92,395.29,81.4,28.89,Longchi
51,1.54,1002,2.35,1.53,426.38,77.6,16.3,Longchi
52,0.68,952,1.95,1.71,488.21,191.29,46.67,Longchi
53,8.32,1668,4.76,3.86,350.42,136.02,29.25,Longchi
54,0.2,434,1.21,0.91,358.68,21.46,6.29,Longchi
55,0.21,440,1.26,1.82,349.21,19.17,2.54,Longchi
56,0.29,460,1.35,0.85,340.74,26.13,7.94,Longchi
57,0.64,660,1.98,4.8,333.33,59.9,15.6,Longchi
58,1.55,1120,4.01,0.45,279.3,270.16,94.5,Beichuan
59,9.8,1162,4.51,9.58,257.65,1754.64,162.64,Beichuan
60,36.77,1203,11.92,7.04,100.92,1200.26,311.93,Beichuan
