dataset,model,transform,score,budget,n_folds,R2,RMSE,MAE
A,ElasticNet,log,R2,30,5,0.9164557292198874,0.1800795001427832,0.13939756051448499
A,ElasticNet,raw,R2,30,5,0.3485453965045119,0.5000816514156595,0.43850538540047895
A,Lasso,log,R2,30,5,0.9158680862625437,0.18095675305059913,0.1399007986173412
A,Lasso,raw,R2,30,5,0.4146989346540545,0.47134399247489184,0.4134227118772887
A,MLP,log,R2,30,5,0.8388277665441299,0.24197558232942162,0.19372955456939964
A,MLP,raw,R2,30,5,0.7534188858891091,0.29502287431576746,0.23059648929662008
A,Ridge,log,R2,30,5,0.8971445822532498,0.19648180245680313,0.15353757205252644
A,Ridge,raw,R2,30,5,0.3837879622766794,0.48500410063093097,0.4201567518015471
B,ElasticNet,log,R2,30,5,0.5098894559702021,0.4345588882135221,0.3578528813492886
B,ElasticNet,raw,R2,30,5,0.0242772342683982,0.6124345331329242,0.5420243583689501
B,Lasso,log,R2,30,5,0.4832042761888243,0.4469699778865575,0.36672004657548996
B,Lasso,raw,R2,30,5,0.020428323222447857,0.6163278904480011,0.5404224490944625
B,MLP,log,R2,30,5,0.2812339218384765,0.5190512860957228,0.4087892131159103
B,MLP,raw,R2,30,5,0.5149578829048238,0.4349400090199813,0.332711116588018
B,Ridge,log,R2,30,5,0.5419211848622356,0.41662525702568576,0.3406830079865489
B,Ridge,raw,R2,30,5,0.11039762050423856,0.5873541060746479,0.5192396971371774
