kind,dataset,fold,model,transform,score,budget,best_trial,inner_score,warnings,R2,RMSE,MAE
transform,A,0,Ridge,raw,R2,30,18,0.6155792619252249,0,0.12210590207532057,0.5665349618663023,0.4614591495804021
transform,A,0,Ridge,log,R2,30,21,0.9104857979932265,0,0.9142997686177801,0.17700952990576496,0.14493415125754455
transform,A,0,Lasso,raw,R2,30,14,0.5877258745188096,0,0.3769625488316015,0.47726845210510854,0.4025148320441408
transform,A,0,Lasso,log,R2,30,28,0.914734782558375,0,0.9316727968170581,0.15805290173735967,0.1317473483232074
transform,A,0,ElasticNet,raw,R2,30,22,0.6178932814762597,0,0.18206865019429097,0.5468447897381263,0.45346887197009883
transform,A,0,ElasticNet,log,R2,30,29,0.9148848482168424,1,0.9269641577653736,0.16340813463084555,0.1358096511788603
transform,A,0,MLP,raw,R2,30,23,0.869936342834086,0,0.5797250164502806,0.3919876834529632,0.33376739266019767
transform,A,0,MLP,log,R2,30,23,0.9063752238737535,0,0.8449042066873491,0.2381253661083352,0.1815976108483807
transform,A,1,Ridge,raw,R2,30,29,0.4287519832548335,0,0.41851584091976113,0.44282241883770695,0.4090682329732993
transform,A,1,Ridge,log,R2,30,26,0.9028645742840009,0,0.8963441477454887,0.18696381841151416,0.15153356426710157
transform,A,1,Lasso,raw,R2,30,23,0.463484376728218,0,0.13249815417070188,0.5408736940350586,0.49114622481038656
transform,A,1,Lasso,log,R2,30,4,0.9198369808348715,0,0.9073907248580146,0.17672089335356628,0.13692329371999767
transform,A,1,ElasticNet,raw,R2,30,7,0.44625451490269885,0,0.12521440378857318,0.5431395993467136,0.4881452848361862
transform,A,1,ElasticNet,log,R2,30,1,0.9152639569498674,1,0.9080637417305147,0.17607758296765266,0.13609721155304186
transform,A,1,MLP,raw,R2,30,26,0.7204496793019676,0,0.8059457757784266,0.2558127617252742,0.18931800848304525
transform,A,1,MLP,log,R2,30,2,0.8861964325660246,0,0.7232103279978384,0.3055171515751714,0.25389669547315896
transform,A,2,Ridge,raw,R2,30,18,0.5866194882390934,0,0.3961674546203693,0.4516545707140488,0.3640222290627764
transform,A,2,Ridge,log,R2,30,20,0.9220767809155773,0,0.9475703776404905,0.13308726982101265,0.10974812089480056
transform,A,2,Lasso,raw,R2,30,18,0.5960800518371933,0,0.5095029428706368,0.4070674289565616,0.33527730547786955
transform,A,2,Lasso,log,R2,30,18,0.9245871132015299,1,0.9541643465340494,0.12443709526751175,0.1008889785587811
transform,A,2,ElasticNet,raw,R2,30,22,0.594229493015915,0,0.5061449738287573,0.4084584549343004,0.33605815944963985
transform,A,2,ElasticNet,log,R2,30,21,0.9245166344675391,2,0.9537815368486149,0.12495565095514426,0.10123108520024439
transform,A,2,MLP,raw,R2,30,25,0.784545146988083,0,0.8586787452648743,0.21850022751041337,0.1398414320225231
transform,A,2,MLP,log,R2,30,23,0.8527442890746301,0,0.9047572575671905,0.17937590168077622,0.16235920376536372
transform,A,3,Ridge,raw,R2,30,25,0.4458267202768458,0,0.6314468834361082,0.45906406140387346,0.42421674839529055
transform,A,3,Ridge,log,R2,30,13,0.9202384234082239,0,0.9253256123875341,0.206637474586002,0.15276406780022014
transform,A,3,Lasso,raw,R2,30,16,0.47679898705499024,0,0.647456496736617,0.44898270127981227,0.39555200127631424
transform,A,3,Lasso,log,R2,30,22,0.9312148967158955,0,0.9146686650950044,0.22089074525918298,0.1645075219456681
transform,A,3,ElasticNet,raw,R2,30,23,0.4593971934682102,0,0.5438263517400577,0.5107264469580656,0.4639140904140202
transform,A,3,ElasticNet,log,R2,30,21,0.9292149603925313,1,0.9217753571319439,0.21149253614265903,0.1570886996026588
transform,A,3,MLP,raw,R2,30,13,0.842873298267733,0,0.9200343175610549,0.2138331701537962,0.17827171080655516
transform,A,3,MLP,log,R2,30,23,0.899362002180708,0,0.9293285789031247,0.20102272822545567,0.15850157098823606
transform,A,4,Ridge,raw,R2,30,29,0.40728101814123957,0,0.35070373033183777,0.5049444903327234,0.4420173989959674
transform,A,4,Ridge,log,R2,30,16,0.9428816364364732,0,0.8021830048749565,0.27871091955972205,0.20870795604296574
transform,A,4,Lasso,raw,R2,30,23,0.4971723030756503,0,0.4070745306607154,0.4825276859979182,0.4426231957777324
transform,A,4,Lasso,log,R2,30,22,0.9488111853848366,0,0.8714438980085919,0.22468212963537523,0.16543685053905188
transform,A,4,ElasticNet,raw,R2,30,29,0.471298468213922,0,0.3854726029708805,0.4912389661010916,0.4509405203324501
