No,Region,A_km2,H_m,L_km,D_km,J_permille,V_landslide_1e4m3,V0_1e4m3
1,Gaochuan,14.74,882.0,4.56,1.46,193.42,485.76,115.11
2,Gaochuan,0.69,565.0,1.93,2.87,292.75,49.53,10.68
3,Gaochuan,1.54,374.0,2.22,3.19,168.47,25.58,6.2
4,Gaochuan,0.65,180.0,1.45,0.57,124.14,7.01,2.8
5,Gaochuan,8.17,1150.0,3.94,0.06,291.88,1603.25,285.39
6,Gaochuan,8.91,970.0,3.1,4.42,312.9,920.7,213.13
7,Gaochuan,3.83,640.0,2.41,0.88,265.56,195.9,58.81
8,Gaochuan,0.5,470.0,1.2,2.08,391.67,42.84,8.24
9,Gaochuan,3.25,920.0,2.61,2.54,352.49,996.46,182.44
10,Gaochuan,0.1,188.0,0.58,1.44,324.14,11.6,2.82
11,Gaochuan,2.22,754.0,1.43,0.85,527.27,375.7,65.23
12,Gaochuan,0.72,531.0,0.74,0.46,717.57,35.1,7.86
13,Gaochuan,30.84,910.0,4.01,3.42,226.93,2000.0,800.0
14,Gaochuan,2.17,1000.0,1.15,2.52,869.57,27.66,12.32
15,Gaochuan,3.05,698.0,2.17,1.6,321.66,299.21,69.92
16,Gaochuan,0.86,972.0,1.46,8.86,665.75,64.56,18.12
17,Gaochuan,2.97,1027.0,1.12,10.16,916.96,121.23,66.35
18,Gaochuan,3.66,865.0,1.26,5.3,686.51,592.74,166.35
19,Gaochuan,0.74,529.0,0.78,2.5,678.21,112.51,8.56
20,Gaochuan,4.06,772.0,2.8,5.5,275.71,405.1,104.38
21,Gaochuan,0.72,643.0,0.68,0.26,945.59,45.36,6.35
22,Qingping,0.86,585.0,0.74,1.55,790.54,34.51,5.34
23,Qingping,0.53,463.0,0.67,1.29,691.04,29.84,4.31
24,Qingping,0.62,532.0,0.84,0.17,633.33,35.21,5.38
25,Qingping,0.69,546.0,0.74,0.57,737.84,30.64,4.71
26,Qingping,7.81,1490.0,4.9,3.6,304.08,1580.2,657.3
27,Qingping,1.36,1177.0,2.59,0.87,454.44,334.3,156.8
28,Qingping,5.72,986.0,3.66,0.16,269.4,432.66,108.61
29,Qingping,8.43,963.0,4.02,3.8,239.55,964.86,292.1
30,Yingxiu,5.24,876.0,2.08,7.6,421.15,234.64,51.42
31,Yingxiu,6.51,886.0,4.98,10.5,177.91,287.52,67.93
32,Yingxiu,6.27,1870.0,5.6,16.89,333.93,358.26,74.12
33,Yingxiu,5.35,1288.0,3.6,0.13,357.78,358.14,98.4
34,Yingxiu,10.7,1842.0,5.82,0.42,316.49,1151.41,218.72
35,Yingxiu,2.18,1820.0,2.72,0.72,669.12,322.3,80.4
36,Yingxiu,54.2,2900.0,14.2,0.47,204.23,2180.57,505.34
37,Yingxiu,0.06,984.0,1.58,0.65,622.78,222.0,77.3
38,Yingxiu,7.5,935.0,5.2,4.39,179.81,647.48,150.5
39,Yingxiu,2.18,1220.0,2.68,4.93,455.22,122.3,92.51
40,Yingxiu,5.21,1678.0,3.4,2.51,493.53,321.32,89.16
41,Yingxiu,1.21,1596.0,1.14,2.07,140.0,13.8,3.62
42,Yingxiu,10.39,1453.0,5.51,2.61,263.7,727.04,108.91
43,Road 213,16.49,2382.0,6.2,0.68,384.19,742.68,194.52
44,Road 213,1.12,1000.0,3.25,1.36,307.69,35.93,8.21
45,Road 213,0.97,1600.0,1.87,2.1,853.33,48.84,15.3
46,Road 213,0.29,1580.0,2.1,1.97,752.38,17.22,4.38
47,Road 213,21.7,2952.0,8.9,0.57,331.69,366.67,136.07
48,Longchi,0.46,650.0,1.3,1.68,500.0,31.63,8.97
49,Longchi,8.63,1605.0,4.45,1.49,360.67,858.94,250.06
50,Longchi,1.98,965.0,2.44,0.92,395.29,81.4,28.89
51,Longchi,1.54,1002.0,2.35,1.53,426.38,77.6,16.3
52,Longchi,0.68,952.0,1.95,1.71,488.21,191.29,46.67
53,Longchi,8.32,1668.0,4.76,3.86,350.42,136.02,29.25
54,Longchi,0.2,434.0,1.21,0.91,358.68,21.46,6.29
55,Longchi,0.21,440.0,1.26,1.82,349.21,19.17,2.54
56,Longchi,0.29,460.0,1.35,0.85,340.74,26.13,7.94
57,Longchi,0.64,660.0,1.98,4.8,333.33,59.9,15.6
58,Beichuan,1.55,1120.0,4.01,0.45,279.3,270.16,94.5
59,Beichuan,9.8,1162.0,4.51,9.58,257.65,1754.64,162.64
60,Beichuan,36.77,1203.0,11.92,7.04,100.92,1200.26,311.93
