file,No,variable,source,used,match
experiment_csv,1,A_km2,14.74,14.74,True
experiment_csv,2,A_km2,0.69,0.69,True
experiment_csv,3,A_km2,1.54,1.54,True
experiment_csv,4,A_km2,0.65,0.65,True
experiment_csv,5,A_km2,8.17,8.17,True
experiment_csv,6,A_km2,8.91,8.91,True
experiment_csv,7,A_km2,3.83,3.83,True
experiment_csv,8,A_km2,0.5,0.5,True
experiment_csv,9,A_km2,3.25,3.25,True
experiment_csv,10,A_km2,0.1,0.1,True
experiment_csv,11,A_km2,2.22,2.22,True
experiment_csv,12,A_km2,0.72,0.72,True
experiment_csv,13,A_km2,30.84,30.84,True
experiment_csv,14,A_km2,2.17,2.17,True
experiment_csv,15,A_km2,3.05,3.05,True
experiment_csv,16,A_km2,0.86,0.86,True
experiment_csv,17,A_km2,2.97,2.97,True
experiment_csv,18,A_km2,3.66,3.66,True
experiment_csv,19,A_km2,0.74,0.74,True
experiment_csv,20,A_km2,4.06,4.06,True
experiment_csv,21,A_km2,0.72,0.72,True
experiment_csv,22,A_km2,0.86,0.86,True
experiment_csv,23,A_km2,0.53,0.53,True
experiment_csv,24,A_km2,0.62,0.62,True
experiment_csv,25,A_km2,0.69,0.69,True
experiment_csv,26,A_km2,7.81,7.81,True
experiment_csv,27,A_km2,1.36,1.36,True
experiment_csv,28,A_km2,5.72,5.72,True
experiment_csv,29,A_km2,8.43,8.43,True
experiment_csv,30,A_km2,5.24,5.24,True
experiment_csv,31,A_km2,6.51,6.51,True
experiment_csv,32,A_km2,6.27,6.27,True
experiment_csv,33,A_km2,5.35,5.35,True
experiment_csv,34,A_km2,10.7,10.7,True
experiment_csv,35,A_km2,2.18,2.18,True
experiment_csv,36,A_km2,54.2,54.2,True
experiment_csv,37,A_km2,0.06,0.06,True
experiment_csv,38,A_km2,7.5,7.5,True
experiment_csv,39,A_km2,2.18,2.18,True
experiment_csv,40,A_km2,5.21,5.21,True
experiment_csv,41,A_km2,1.21,1.21,True
experiment_csv,42,A_km2,10.39,10.39,True
experiment_csv,43,A_km2,16.49,16.49,True
experiment_csv,44,A_km2,1.12,1.12,True
experiment_csv,45,A_km2,0.97,0.97,True
experiment_csv,46,A_km2,0.29,0.29,True
experiment_csv,47,A_km2,21.7,21.7,True
experiment_csv,48,A_km2,0.46,0.46,True
experiment_csv,49,A_km2,8.63,8.63,True
